/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
40
/*The Depot*/
0.08350730683983887 0.9325556327458451 depot
/*The Locations (x_coor y_coor name)*/
64.0 97.0 loc1
10.0 0.0 loc2
83.0 93.0 loc3
80.0 39.0 loc4
34.0 73.0 loc5
56.0 19.0 loc6
59.0 84.0 loc7
38.0 65.0 loc8
46.0 49.0 loc9
52.0 56.0 loc10
50.0 53.0 loc11
34.0 17.0 loc12
84.0 77.0 loc13
99.0 38.0 loc14
17.0 29.0 loc15
59.0 33.0 loc16
90.0 28.0 loc17
74.0 25.0 loc18
61.0 14.0 loc19
27.0 4.0 loc20
14.0 28.0 loc21
55.0 25.0 loc22
84.0 72.0 loc23
73.0 19.0 loc24
2.0 98.0 loc25
24.0 42.0 loc26
0.0 20.0 loc27
25.0 43.0 loc28
30.0 14.0 loc29
40.0 25.0 loc30
34.0 96.0 loc31
2.0 73.0 loc32
97.0 50.0 loc33
95.0 14.0 loc34
63.0 80.0 loc35
39.0 20.0 loc36
82.0 45.0 loc37
28.0 14.0 loc38
76.0 80.0 loc39
