/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
90
/*The Depot*/
0.8537646598132625 0.3516709841442921 depot
/*The Locations (x_coor y_coor name)*/
43.0 29.0 loc1
52.0 91.0 loc2
87.0 43.0 loc3
72.0 89.0 loc4
33.0 98.0 loc5
8.0 13.0 loc6
11.0 93.0 loc7
50.0 59.0 loc8
78.0 96.0 loc9
14.0 22.0 loc10
47.0 54.0 loc11
77.0 56.0 loc12
18.0 100.0 loc13
88.0 63.0 loc14
80.0 57.0 loc15
91.0 65.0 loc16
49.0 70.0 loc17
96.0 39.0 loc18
86.0 32.0 loc19
17.0 79.0 loc20
10.0 43.0 loc21
35.0 76.0 loc22
60.0 49.0 loc23
68.0 94.0 loc24
59.0 17.0 loc25
6.0 13.0 loc26
25.0 42.0 loc27
39.0 49.0 loc28
69.0 10.0 loc29
16.0 51.0 loc30
93.0 30.0 loc31
14.0 18.0 loc32
9.0 11.0 loc33
4.0 72.0 loc34
25.0 52.0 loc35
72.0 45.0 loc36
56.0 85.0 loc37
57.0 44.0 loc38
15.0 93.0 loc39
54.0 49.0 loc40
64.0 75.0 loc41
68.0 20.0 loc42
23.0 79.0 loc43
77.0 19.0 loc44
23.0 34.0 loc45
3.0 59.0 loc46
63.0 7.0 loc47
29.0 35.0 loc48
49.0 6.0 loc49
95.0 95.0 loc50
56.0 18.0 loc51
43.0 65.0 loc52
56.0 99.0 loc53
76.0 92.0 loc54
69.0 8.0 loc55
66.0 36.0 loc56
16.0 69.0 loc57
66.0 100.0 loc58
66.0 48.0 loc59
87.0 100.0 loc60
54.0 17.0 loc61
54.0 78.0 loc62
37.0 4.0 loc63
9.0 55.0 loc64
59.0 30.0 loc65
82.0 63.0 loc66
27.0 75.0 loc67
17.0 62.0 loc68
55.0 100.0 loc69
51.0 68.0 loc70
86.0 12.0 loc71
24.0 42.0 loc72
91.0 27.0 loc73
44.0 59.0 loc74
54.0 56.0 loc75
15.0 47.0 loc76
58.0 99.0 loc77
53.0 41.0 loc78
74.0 62.0 loc79
1.0 64.0 loc80
20.0 39.0 loc81
37.0 74.0 loc82
20.0 67.0 loc83
25.0 25.0 loc84
21.0 98.0 loc85
50.0 54.0 loc86
63.0 1.0 loc87
89.0 17.0 loc88
91.0 36.0 loc89
