/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
90
/*The Depot*/
0.582779218427308 0.5214290250720548 depot
/*The Locations (x_coor y_coor name)*/
87.0 80.0 loc1
48.0 63.0 loc2
96.0 84.0 loc3
81.0 50.0 loc4
100.0 86.0 loc5
54.0 58.0 loc6
100.0 38.0 loc7
55.0 70.0 loc8
6.0 44.0 loc9
33.0 91.0 loc10
41.0 43.0 loc11
91.0 7.0 loc12
12.0 74.0 loc13
64.0 98.0 loc14
0.0 42.0 loc15
99.0 47.0 loc16
17.0 3.0 loc17
91.0 53.0 loc18
12.0 43.0 loc19
88.0 98.0 loc20
94.0 14.0 loc21
67.0 17.0 loc22
62.0 91.0 loc23
89.0 98.0 loc24
75.0 29.0 loc25
39.0 44.0 loc26
59.0 39.0 loc27
82.0 82.0 loc28
98.0 54.0 loc29
94.0 2.0 loc30
13.0 69.0 loc31
84.0 0.0 loc32
66.0 79.0 loc33
62.0 78.0 loc34
24.0 98.0 loc35
48.0 55.0 loc36
69.0 74.0 loc37
78.0 18.0 loc38
14.0 66.0 loc39
40.0 85.0 loc40
57.0 17.0 loc41
95.0 18.0 loc42
25.0 15.0 loc43
0.0 91.0 loc44
29.0 74.0 loc45
85.0 90.0 loc46
26.0 94.0 loc47
79.0 75.0 loc48
10.0 51.0 loc49
80.0 54.0 loc50
79.0 63.0 loc51
32.0 67.0 loc52
24.0 57.0 loc53
76.0 37.0 loc54
42.0 50.0 loc55
58.0 99.0 loc56
43.0 14.0 loc57
21.0 40.0 loc58
6.0 28.0 loc59
12.0 23.0 loc60
2.0 100.0 loc61
72.0 63.0 loc62
51.0 15.0 loc63
90.0 5.0 loc64
22.0 71.0 loc65
83.0 32.0 loc66
88.0 14.0 loc67
69.0 33.0 loc68
36.0 87.0 loc69
91.0 7.0 loc70
78.0 52.0 loc71
94.0 83.0 loc72
4.0 13.0 loc73
16.0 65.0 loc74
57.0 77.0 loc75
43.0 93.0 loc76
41.0 70.0 loc77
10.0 12.0 loc78
93.0 38.0 loc79
71.0 54.0 loc80
2.0 32.0 loc81
8.0 13.0 loc82
97.0 32.0 loc83
3.0 11.0 loc84
73.0 86.0 loc85
5.0 100.0 loc86
56.0 37.0 loc87
26.0 35.0 loc88
32.0 10.0 loc89
