/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
90
/*The Depot*/
0.7412591072154466 0.35445023817039156 depot
/*The Locations (x_coor y_coor name)*/
12.0 67.0 loc1
51.0 20.0 loc2
84.0 96.0 loc3
4.0 77.0 loc4
88.0 37.0 loc5
92.0 10.0 loc6
84.0 82.0 loc7
45.0 46.0 loc8
59.0 24.0 loc9
64.0 2.0 loc10
92.0 73.0 loc11
2.0 66.0 loc12
2.0 39.0 loc13
2.0 43.0 loc14
1.0 20.0 loc15
54.0 8.0 loc16
15.0 12.0 loc17
14.0 54.0 loc18
54.0 62.0 loc19
44.0 100.0 loc20
36.0 26.0 loc21
60.0 33.0 loc22
99.0 0.0 loc23
63.0 97.0 loc24
23.0 33.0 loc25
94.0 19.0 loc26
28.0 14.0 loc27
34.0 19.0 loc28
70.0 3.0 loc29
16.0 25.0 loc30
78.0 67.0 loc31
65.0 19.0 loc32
59.0 78.0 loc33
26.0 24.0 loc34
42.0 54.0 loc35
54.0 50.0 loc36
5.0 21.0 loc37
47.0 88.0 loc38
96.0 15.0 loc39
66.0 16.0 loc40
59.0 100.0 loc41
30.0 70.0 loc42
45.0 74.0 loc43
38.0 65.0 loc44
64.0 95.0 loc45
61.0 34.0 loc46
29.0 69.0 loc47
56.0 32.0 loc48
37.0 79.0 loc49
66.0 56.0 loc50
50.0 87.0 loc51
95.0 94.0 loc52
82.0 69.0 loc53
89.0 36.0 loc54
70.0 48.0 loc55
42.0 63.0 loc56
14.0 77.0 loc57
59.0 93.0 loc58
52.0 23.0 loc59
87.0 54.0 loc60
82.0 23.0 loc61
59.0 15.0 loc62
24.0 78.0 loc63
36.0 18.0 loc64
30.0 97.0 loc65
50.0 73.0 loc66
34.0 63.0 loc67
39.0 12.0 loc68
51.0 24.0 loc69
16.0 89.0 loc70
81.0 75.0 loc71
81.0 89.0 loc72
69.0 36.0 loc73
92.0 0.0 loc74
48.0 99.0 loc75
21.0 92.0 loc76
56.0 76.0 loc77
100.0 98.0 loc78
78.0 74.0 loc79
3.0 43.0 loc80
16.0 20.0 loc81
7.0 30.0 loc82
99.0 66.0 loc83
40.0 52.0 loc84
65.0 6.0 loc85
79.0 72.0 loc86
16.0 59.0 loc87
80.0 61.0 loc88
85.0 40.0 loc89
