/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.8402659780766334 0.5438541536607729 depot
/*The Locations (x_coor y_coor name)*/
58.0 26.0 loc1
19.0 63.0 loc2
4.0 27.0 loc3
45.0 63.0 loc4
29.0 31.0 loc5
82.0 66.0 loc6
96.0 66.0 loc7
32.0 30.0 loc8
1.0 0.0 loc9
37.0 4.0 loc10
17.0 47.0 loc11
39.0 0.0 loc12
68.0 74.0 loc13
8.0 77.0 loc14
43.0 12.0 loc15
93.0 1.0 loc16
52.0 90.0 loc17
22.0 88.0 loc18
7.0 5.0 loc19
20.0 62.0 loc20
61.0 92.0 loc21
36.0 40.0 loc22
73.0 6.0 loc23
82.0 11.0 loc24
86.0 93.0 loc25
78.0 1.0 loc26
93.0 45.0 loc27
79.0 66.0 loc28
85.0 37.0 loc29
20.0 87.0 loc30
11.0 19.0 loc31
100.0 40.0 loc32
6.0 43.0 loc33
50.0 26.0 loc34
44.0 93.0 loc35
50.0 55.0 loc36
21.0 14.0 loc37
88.0 77.0 loc38
6.0 90.0 loc39
43.0 74.0 loc40
55.0 6.0 loc41
5.0 71.0 loc42
43.0 21.0 loc43
37.0 58.0 loc44
73.0 69.0 loc45
98.0 79.0 loc46
28.0 4.0 loc47
44.0 38.0 loc48
60.0 0.0 loc49
30.0 50.0 loc50
17.0 9.0 loc51
51.0 9.0 loc52
82.0 81.0 loc53
40.0 29.0 loc54
95.0 95.0 loc55
8.0 31.0 loc56
42.0 84.0 loc57
46.0 0.0 loc58
26.0 13.0 loc59
63.0 0.0 loc60
76.0 67.0 loc61
77.0 69.0 loc62
25.0 97.0 loc63
38.0 62.0 loc64
18.0 50.0 loc65
38.0 19.0 loc66
66.0 55.0 loc67
65.0 73.0 loc68
98.0 44.0 loc69
3.0 24.0 loc70
3.0 14.0 loc71
18.0 39.0 loc72
45.0 44.0 loc73
60.0 36.0 loc74
93.0 88.0 loc75
0.0 41.0 loc76
91.0 81.0 loc77
54.0 92.0 loc78
55.0 81.0 loc79
85.0 91.0 loc80
71.0 20.0 loc81
84.0 74.0 loc82
77.0 31.0 loc83
80.0 35.0 loc84
44.0 15.0 loc85
77.0 74.0 loc86
70.0 76.0 loc87
36.0 60.0 loc88
11.0 28.0 loc89
18.0 40.0 loc90
94.0 24.0 loc91
29.0 37.0 loc92
66.0 39.0 loc93
17.0 77.0 loc94
39.0 44.0 loc95
88.0 22.0 loc96
84.0 32.0 loc97
31.0 22.0 loc98
1.0 28.0 loc99
