/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
80
/*The Depot*/
0.87307487902805 0.8854336724194591 depot
/*The Locations (x_coor y_coor name)*/
94.0 31.0 loc1
88.0 37.0 loc2
86.0 46.0 loc3
32.0 56.0 loc4
28.0 28.0 loc5
30.0 45.0 loc6
41.0 97.0 loc7
28.0 9.0 loc8
91.0 16.0 loc9
35.0 64.0 loc10
55.0 56.0 loc11
79.0 34.0 loc12
63.0 44.0 loc13
57.0 71.0 loc14
78.0 7.0 loc15
17.0 75.0 loc16
26.0 93.0 loc17
31.0 10.0 loc18
76.0 90.0 loc19
83.0 56.0 loc20
34.0 65.0 loc21
21.0 64.0 loc22
50.0 76.0 loc23
54.0 17.0 loc24
89.0 12.0 loc25
45.0 47.0 loc26
34.0 47.0 loc27
79.0 50.0 loc28
21.0 76.0 loc29
7.0 46.0 loc30
8.0 23.0 loc31
65.0 19.0 loc32
92.0 75.0 loc33
100.0 36.0 loc34
44.0 8.0 loc35
61.0 69.0 loc36
70.0 4.0 loc37
65.0 0.0 loc38
93.0 47.0 loc39
19.0 4.0 loc40
77.0 100.0 loc41
89.0 87.0 loc42
2.0 95.0 loc43
39.0 57.0 loc44
14.0 30.0 loc45
32.0 4.0 loc46
66.0 47.0 loc47
99.0 68.0 loc48
41.0 90.0 loc49
10.0 92.0 loc50
25.0 26.0 loc51
28.0 24.0 loc52
21.0 79.0 loc53
54.0 35.0 loc54
3.0 81.0 loc55
27.0 51.0 loc56
3.0 52.0 loc57
46.0 59.0 loc58
40.0 84.0 loc59
78.0 12.0 loc60
23.0 71.0 loc61
38.0 34.0 loc62
71.0 23.0 loc63
92.0 21.0 loc64
35.0 72.0 loc65
47.0 14.0 loc66
34.0 1.0 loc67
14.0 63.0 loc68
63.0 59.0 loc69
57.0 96.0 loc70
8.0 70.0 loc71
46.0 38.0 loc72
54.0 55.0 loc73
45.0 26.0 loc74
5.0 41.0 loc75
52.0 19.0 loc76
52.0 33.0 loc77
69.0 100.0 loc78
32.0 95.0 loc79
