/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.454279989561161 0.9512646614838443 depot
/*The Locations (x_coor y_coor name)*/
77.0 8.0 loc1
45.0 53.0 loc2
98.0 36.0 loc3
95.0 9.0 loc4
73.0 47.0 loc5
62.0 55.0 loc6
60.0 2.0 loc7
73.0 89.0 loc8
49.0 92.0 loc9
61.0 28.0 loc10
81.0 32.0 loc11
90.0 92.0 loc12
82.0 16.0 loc13
97.0 39.0 loc14
4.0 20.0 loc15
65.0 16.0 loc16
80.0 67.0 loc17
63.0 37.0 loc18
90.0 95.0 loc19
41.0 49.0 loc20
17.0 81.0 loc21
32.0 1.0 loc22
89.0 55.0 loc23
56.0 86.0 loc24
39.0 79.0 loc25
98.0 65.0 loc26
82.0 0.0 loc27
51.0 44.0 loc28
13.0 58.0 loc29
72.0 1.0 loc30
86.0 18.0 loc31
31.0 56.0 loc32
27.0 44.0 loc33
93.0 1.0 loc34
16.0 88.0 loc35
73.0 59.0 loc36
45.0 18.0 loc37
27.0 95.0 loc38
9.0 94.0 loc39
1.0 68.0 loc40
32.0 18.0 loc41
7.0 25.0 loc42
12.0 74.0 loc43
21.0 93.0 loc44
5.0 24.0 loc45
51.0 51.0 loc46
33.0 94.0 loc47
100.0 49.0 loc48
53.0 38.0 loc49
3.0 67.0 loc50
67.0 21.0 loc51
16.0 76.0 loc52
77.0 80.0 loc53
35.0 42.0 loc54
22.0 96.0 loc55
59.0 91.0 loc56
0.0 71.0 loc57
32.0 67.0 loc58
0.0 20.0 loc59
85.0 14.0 loc60
3.0 57.0 loc61
71.0 44.0 loc62
84.0 29.0 loc63
52.0 68.0 loc64
11.0 25.0 loc65
98.0 72.0 loc66
46.0 36.0 loc67
80.0 35.0 loc68
34.0 23.0 loc69
89.0 98.0 loc70
68.0 61.0 loc71
11.0 37.0 loc72
28.0 38.0 loc73
29.0 68.0 loc74
42.0 48.0 loc75
73.0 62.0 loc76
0.0 7.0 loc77
77.0 24.0 loc78
2.0 11.0 loc79
23.0 60.0 loc80
8.0 48.0 loc81
0.0 30.0 loc82
53.0 19.0 loc83
65.0 50.0 loc84
46.0 76.0 loc85
16.0 34.0 loc86
81.0 71.0 loc87
40.0 81.0 loc88
67.0 64.0 loc89
68.0 15.0 loc90
16.0 21.0 loc91
85.0 57.0 loc92
92.0 74.0 loc93
30.0 78.0 loc94
46.0 35.0 loc95
86.0 10.0 loc96
3.0 61.0 loc97
45.0 14.0 loc98
54.0 87.0 loc99
