/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
90
/*The Depot*/
0.8866357801274252 0.906804360991632 depot
/*The Locations (x_coor y_coor name)*/
98.0 88.0 loc1
55.0 48.0 loc2
39.0 73.0 loc3
21.0 15.0 loc4
7.0 62.0 loc5
55.0 40.0 loc6
11.0 23.0 loc7
90.0 81.0 loc8
64.0 37.0 loc9
35.0 8.0 loc10
97.0 25.0 loc11
71.0 25.0 loc12
18.0 36.0 loc13
46.0 4.0 loc14
27.0 92.0 loc15
59.0 48.0 loc16
69.0 27.0 loc17
89.0 41.0 loc18
61.0 4.0 loc19
73.0 55.0 loc20
92.0 77.0 loc21
15.0 96.0 loc22
15.0 59.0 loc23
69.0 41.0 loc24
23.0 67.0 loc25
52.0 78.0 loc26
60.0 39.0 loc27
1.0 61.0 loc28
95.0 49.0 loc29
75.0 28.0 loc30
47.0 97.0 loc31
32.0 5.0 loc32
95.0 17.0 loc33
91.0 96.0 loc34
56.0 24.0 loc35
72.0 7.0 loc36
90.0 96.0 loc37
55.0 58.0 loc38
19.0 85.0 loc39
15.0 56.0 loc40
99.0 37.0 loc41
73.0 87.0 loc42
21.0 22.0 loc43
77.0 13.0 loc44
51.0 54.0 loc45
69.0 34.0 loc46
66.0 9.0 loc47
7.0 74.0 loc48
95.0 61.0 loc49
48.0 93.0 loc50
81.0 32.0 loc51
72.0 48.0 loc52
51.0 5.0 loc53
64.0 2.0 loc54
48.0 39.0 loc55
95.0 74.0 loc56
10.0 95.0 loc57
23.0 44.0 loc58
89.0 34.0 loc59
52.0 7.0 loc60
98.0 95.0 loc61
16.0 99.0 loc62
93.0 49.0 loc63
22.0 71.0 loc64
28.0 47.0 loc65
48.0 60.0 loc66
77.0 88.0 loc67
40.0 49.0 loc68
75.0 88.0 loc69
89.0 26.0 loc70
31.0 50.0 loc71
86.0 20.0 loc72
87.0 99.0 loc73
48.0 60.0 loc74
1.0 4.0 loc75
65.0 12.0 loc76
8.0 1.0 loc77
19.0 20.0 loc78
88.0 66.0 loc79
11.0 20.0 loc80
2.0 21.0 loc81
94.0 8.0 loc82
62.0 60.0 loc83
34.0 77.0 loc84
74.0 15.0 loc85
33.0 71.0 loc86
31.0 34.0 loc87
76.0 29.0 loc88
33.0 32.0 loc89
