/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
60
/*The Depot*/
0.7923221860499186 0.828462194030805 depot
/*The Locations (x_coor y_coor name)*/
89.0 65.0 loc1
12.0 62.0 loc2
15.0 34.0 loc3
59.0 71.0 loc4
93.0 35.0 loc5
13.0 64.0 loc6
97.0 95.0 loc7
24.0 74.0 loc8
46.0 2.0 loc9
8.0 9.0 loc10
19.0 24.0 loc11
78.0 78.0 loc12
81.0 91.0 loc13
22.0 65.0 loc14
78.0 1.0 loc15
67.0 5.0 loc16
33.0 27.0 loc17
76.0 83.0 loc18
37.0 35.0 loc19
77.0 29.0 loc20
63.0 34.0 loc21
86.0 79.0 loc22
58.0 59.0 loc23
87.0 66.0 loc24
28.0 23.0 loc25
19.0 63.0 loc26
66.0 0.0 loc27
61.0 22.0 loc28
59.0 8.0 loc29
30.0 36.0 loc30
2.0 3.0 loc31
2.0 15.0 loc32
60.0 24.0 loc33
11.0 100.0 loc34
15.0 76.0 loc35
94.0 28.0 loc36
9.0 28.0 loc37
79.0 31.0 loc38
13.0 55.0 loc39
12.0 39.0 loc40
87.0 20.0 loc41
32.0 46.0 loc42
12.0 8.0 loc43
27.0 93.0 loc44
15.0 29.0 loc45
56.0 13.0 loc46
4.0 25.0 loc47
38.0 86.0 loc48
2.0 73.0 loc49
1.0 44.0 loc50
74.0 40.0 loc51
22.0 80.0 loc52
90.0 29.0 loc53
71.0 42.0 loc54
0.0 4.0 loc55
12.0 98.0 loc56
95.0 65.0 loc57
30.0 26.0 loc58
57.0 50.0 loc59
