/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
60
/*The Depot*/
0.07523186262757808 0.960549265753813 depot
/*The Locations (x_coor y_coor name)*/
49.0 100.0 loc1
22.0 1.0 loc2
61.0 90.0 loc3
88.0 24.0 loc4
23.0 1.0 loc5
100.0 77.0 loc6
24.0 90.0 loc7
59.0 56.0 loc8
99.0 13.0 loc9
96.0 61.0 loc10
52.0 35.0 loc11
13.0 28.0 loc12
41.0 49.0 loc13
56.0 48.0 loc14
65.0 70.0 loc15
20.0 15.0 loc16
44.0 28.0 loc17
27.0 87.0 loc18
76.0 47.0 loc19
30.0 58.0 loc20
56.0 0.0 loc21
93.0 95.0 loc22
57.0 87.0 loc23
84.0 9.0 loc24
69.0 30.0 loc25
31.0 88.0 loc26
80.0 48.0 loc27
10.0 14.0 loc28
7.0 33.0 loc29
96.0 25.0 loc30
94.0 62.0 loc31
19.0 69.0 loc32
97.0 42.0 loc33
47.0 93.0 loc34
15.0 29.0 loc35
56.0 1.0 loc36
56.0 34.0 loc37
75.0 26.0 loc38
81.0 97.0 loc39
44.0 43.0 loc40
52.0 45.0 loc41
60.0 58.0 loc42
77.0 32.0 loc43
80.0 32.0 loc44
50.0 17.0 loc45
24.0 43.0 loc46
40.0 89.0 loc47
26.0 30.0 loc48
64.0 29.0 loc49
48.0 40.0 loc50
20.0 29.0 loc51
63.0 51.0 loc52
20.0 35.0 loc53
5.0 55.0 loc54
90.0 66.0 loc55
37.0 72.0 loc56
7.0 6.0 loc57
22.0 12.0 loc58
18.0 91.0 loc59
