/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
60
/*The Depot*/
0.29514530966923924 0.7147471540192716 depot
/*The Locations (x_coor y_coor name)*/
65.0 21.0 loc1
60.0 14.0 loc2
5.0 85.0 loc3
93.0 54.0 loc4
81.0 53.0 loc5
46.0 77.0 loc6
35.0 4.0 loc7
38.0 78.0 loc8
55.0 74.0 loc9
99.0 33.0 loc10
63.0 99.0 loc11
53.0 82.0 loc12
99.0 12.0 loc13
100.0 100.0 loc14
15.0 14.0 loc15
42.0 15.0 loc16
65.0 37.0 loc17
12.0 53.0 loc18
73.0 96.0 loc19
6.0 98.0 loc20
93.0 29.0 loc21
14.0 22.0 loc22
39.0 96.0 loc23
37.0 30.0 loc24
66.0 81.0 loc25
12.0 64.0 loc26
82.0 93.0 loc27
6.0 81.0 loc28
45.0 92.0 loc29
46.0 45.0 loc30
59.0 31.0 loc31
93.0 9.0 loc32
60.0 83.0 loc33
32.0 95.0 loc34
23.0 81.0 loc35
5.0 92.0 loc36
29.0 3.0 loc37
2.0 5.0 loc38
28.0 52.0 loc39
63.0 72.0 loc40
4.0 14.0 loc41
68.0 35.0 loc42
97.0 2.0 loc43
33.0 44.0 loc44
28.0 22.0 loc45
57.0 29.0 loc46
32.0 37.0 loc47
49.0 100.0 loc48
16.0 30.0 loc49
38.0 3.0 loc50
20.0 39.0 loc51
87.0 16.0 loc52
30.0 5.0 loc53
60.0 23.0 loc54
13.0 28.0 loc55
61.0 24.0 loc56
79.0 22.0 loc57
47.0 52.0 loc58
33.0 18.0 loc59
