/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
80
/*The Depot*/
0.6505286217878117 0.9963357364687688 depot
/*The Locations (x_coor y_coor name)*/
1.0 62.0 loc1
48.0 66.0 loc2
88.0 14.0 loc3
3.0 22.0 loc4
98.0 43.0 loc5
17.0 73.0 loc6
80.0 80.0 loc7
59.0 3.0 loc8
70.0 12.0 loc9
58.0 56.0 loc10
50.0 88.0 loc11
41.0 89.0 loc12
87.0 89.0 loc13
99.0 84.0 loc14
27.0 25.0 loc15
70.0 63.0 loc16
49.0 3.0 loc17
95.0 69.0 loc18
41.0 73.0 loc19
29.0 68.0 loc20
79.0 37.0 loc21
65.0 100.0 loc22
4.0 51.0 loc23
37.0 26.0 loc24
51.0 96.0 loc25
99.0 53.0 loc26
25.0 14.0 loc27
88.0 6.0 loc28
86.0 61.0 loc29
22.0 57.0 loc30
66.0 15.0 loc31
13.0 73.0 loc32
97.0 92.0 loc33
26.0 4.0 loc34
6.0 7.0 loc35
94.0 5.0 loc36
29.0 50.0 loc37
84.0 62.0 loc38
53.0 93.0 loc39
21.0 18.0 loc40
63.0 5.0 loc41
23.0 91.0 loc42
94.0 62.0 loc43
1.0 85.0 loc44
77.0 47.0 loc45
6.0 53.0 loc46
77.0 69.0 loc47
35.0 32.0 loc48
46.0 72.0 loc49
28.0 22.0 loc50
54.0 76.0 loc51
42.0 15.0 loc52
57.0 77.0 loc53
76.0 81.0 loc54
12.0 54.0 loc55
90.0 59.0 loc56
39.0 100.0 loc57
62.0 86.0 loc58
22.0 97.0 loc59
23.0 86.0 loc60
12.0 8.0 loc61
28.0 76.0 loc62
81.0 70.0 loc63
39.0 10.0 loc64
41.0 58.0 loc65
12.0 30.0 loc66
7.0 26.0 loc67
5.0 66.0 loc68
17.0 37.0 loc69
76.0 8.0 loc70
12.0 1.0 loc71
95.0 15.0 loc72
73.0 71.0 loc73
59.0 39.0 loc74
57.0 93.0 loc75
64.0 17.0 loc76
14.0 49.0 loc77
22.0 4.0 loc78
13.0 88.0 loc79
