/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
30
/*The Depot*/
0.34249143715531416 0.40372897573142785 depot
/*The Locations (x_coor y_coor name)*/
56.0 70.0 loc1
90.0 76.0 loc2
96.0 45.0 loc3
24.0 30.0 loc4
76.0 74.0 loc5
0.0 35.0 loc6
39.0 90.0 loc7
71.0 48.0 loc8
98.0 94.0 loc9
20.0 69.0 loc10
53.0 6.0 loc11
47.0 28.0 loc12
3.0 34.0 loc13
97.0 92.0 loc14
82.0 54.0 loc15
40.0 89.0 loc16
64.0 88.0 loc17
36.0 30.0 loc18
51.0 72.0 loc19
64.0 81.0 loc20
58.0 38.0 loc21
28.0 46.0 loc22
66.0 60.0 loc23
59.0 82.0 loc24
31.0 19.0 loc25
22.0 96.0 loc26
48.0 51.0 loc27
89.0 9.0 loc28
95.0 81.0 loc29
