/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
60
/*The Depot*/
0.21226182937612115 0.09438291160186074 depot
/*The Locations (x_coor y_coor name)*/
75.0 1.0 loc1
29.0 13.0 loc2
88.0 76.0 loc3
95.0 85.0 loc4
92.0 40.0 loc5
45.0 84.0 loc6
80.0 99.0 loc7
33.0 79.0 loc8
27.0 21.0 loc9
31.0 57.0 loc10
6.0 58.0 loc11
19.0 27.0 loc12
95.0 47.0 loc13
99.0 90.0 loc14
2.0 96.0 loc15
56.0 61.0 loc16
28.0 35.0 loc17
90.0 21.0 loc18
0.0 70.0 loc19
89.0 78.0 loc20
72.0 4.0 loc21
54.0 16.0 loc22
55.0 7.0 loc23
24.0 10.0 loc24
38.0 68.0 loc25
25.0 47.0 loc26
94.0 90.0 loc27
97.0 100.0 loc28
71.0 12.0 loc29
45.0 50.0 loc30
100.0 44.0 loc31
89.0 52.0 loc32
19.0 56.0 loc33
97.0 83.0 loc34
33.0 4.0 loc35
47.0 75.0 loc36
68.0 10.0 loc37
33.0 32.0 loc38
15.0 32.0 loc39
47.0 72.0 loc40
88.0 5.0 loc41
2.0 21.0 loc42
26.0 79.0 loc43
36.0 36.0 loc44
59.0 86.0 loc45
82.0 78.0 loc46
44.0 95.0 loc47
29.0 37.0 loc48
78.0 49.0 loc49
51.0 20.0 loc50
88.0 30.0 loc51
86.0 71.0 loc52
14.0 66.0 loc53
0.0 81.0 loc54
8.0 22.0 loc55
70.0 16.0 loc56
0.0 67.0 loc57
70.0 74.0 loc58
78.0 96.0 loc59
