/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.31103482159122653 0.22833372529977858 depot
/*The Locations (x_coor y_coor name)*/
98.0 23.0 loc1
71.0 84.0 loc2
43.0 88.0 loc3
92.0 39.0 loc4
93.0 50.0 loc5
61.0 65.0 loc6
58.0 39.0 loc7
67.0 43.0 loc8
2.0 88.0 loc9
12.0 61.0 loc10
70.0 28.0 loc11
8.0 86.0 loc12
75.0 87.0 loc13
58.0 28.0 loc14
88.0 26.0 loc15
2.0 32.0 loc16
91.0 85.0 loc17
83.0 75.0 loc18
94.0 34.0 loc19
95.0 77.0 loc20
27.0 10.0 loc21
31.0 14.0 loc22
15.0 70.0 loc23
40.0 5.0 loc24
20.0 1.0 loc25
60.0 2.0 loc26
88.0 62.0 loc27
86.0 46.0 loc28
5.0 88.0 loc29
96.0 71.0 loc30
35.0 18.0 loc31
67.0 84.0 loc32
5.0 57.0 loc33
96.0 37.0 loc34
83.0 33.0 loc35
18.0 53.0 loc36
66.0 11.0 loc37
50.0 54.0 loc38
72.0 96.0 loc39
33.0 42.0 loc40
49.0 7.0 loc41
35.0 90.0 loc42
89.0 47.0 loc43
82.0 64.0 loc44
19.0 61.0 loc45
51.0 99.0 loc46
0.0 59.0 loc47
3.0 0.0 loc48
17.0 50.0 loc49
