/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.9231099116218863 0.7468857401652758 depot
/*The Locations (x_coor y_coor name)*/
80.0 80.0 loc1
6.0 5.0 loc2
13.0 51.0 loc3
67.0 98.0 loc4
4.0 89.0 loc5
46.0 93.0 loc6
92.0 57.0 loc7
6.0 81.0 loc8
18.0 65.0 loc9
26.0 63.0 loc10
69.0 28.0 loc11
75.0 77.0 loc12
30.0 10.0 loc13
34.0 75.0 loc14
72.0 99.0 loc15
30.0 94.0 loc16
43.0 96.0 loc17
36.0 53.0 loc18
80.0 70.0 loc19
0.0 45.0 loc20
19.0 23.0 loc21
6.0 24.0 loc22
12.0 12.0 loc23
64.0 54.0 loc24
16.0 30.0 loc25
81.0 94.0 loc26
48.0 85.0 loc27
51.0 56.0 loc28
90.0 99.0 loc29
2.0 40.0 loc30
9.0 75.0 loc31
45.0 84.0 loc32
12.0 59.0 loc33
19.0 50.0 loc34
12.0 99.0 loc35
98.0 5.0 loc36
28.0 16.0 loc37
16.0 17.0 loc38
13.0 7.0 loc39
75.0 28.0 loc40
6.0 75.0 loc41
84.0 42.0 loc42
51.0 60.0 loc43
32.0 16.0 loc44
3.0 67.0 loc45
49.0 54.0 loc46
100.0 82.0 loc47
72.0 51.0 loc48
84.0 54.0 loc49
84.0 25.0 loc50
26.0 61.0 loc51
42.0 17.0 loc52
1.0 7.0 loc53
9.0 27.0 loc54
43.0 16.0 loc55
81.0 91.0 loc56
13.0 72.0 loc57
30.0 14.0 loc58
94.0 68.0 loc59
11.0 96.0 loc60
42.0 70.0 loc61
95.0 66.0 loc62
4.0 38.0 loc63
48.0 57.0 loc64
45.0 80.0 loc65
22.0 77.0 loc66
75.0 35.0 loc67
27.0 85.0 loc68
6.0 43.0 loc69
51.0 82.0 loc70
63.0 92.0 loc71
96.0 18.0 loc72
45.0 77.0 loc73
71.0 63.0 loc74
54.0 79.0 loc75
85.0 14.0 loc76
54.0 5.0 loc77
36.0 99.0 loc78
71.0 73.0 loc79
77.0 63.0 loc80
34.0 57.0 loc81
76.0 8.0 loc82
95.0 93.0 loc83
42.0 73.0 loc84
10.0 64.0 loc85
4.0 67.0 loc86
100.0 100.0 loc87
81.0 4.0 loc88
4.0 19.0 loc89
86.0 72.0 loc90
10.0 14.0 loc91
21.0 35.0 loc92
0.0 5.0 loc93
87.0 24.0 loc94
28.0 33.0 loc95
76.0 67.0 loc96
53.0 33.0 loc97
30.0 63.0 loc98
73.0 3.0 loc99
