/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
30
/*The Depot*/
0.9597134931881119 0.9822626384861407 depot
/*The Locations (x_coor y_coor name)*/
95.0 71.0 loc1
24.0 10.0 loc2
19.0 83.0 loc3
45.0 77.0 loc4
97.0 0.0 loc5
69.0 56.0 loc6
54.0 45.0 loc7
7.0 26.0 loc8
70.0 61.0 loc9
75.0 73.0 loc10
53.0 50.0 loc11
4.0 89.0 loc12
41.0 8.0 loc13
48.0 32.0 loc14
59.0 40.0 loc15
61.0 29.0 loc16
15.0 66.0 loc17
70.0 63.0 loc18
72.0 40.0 loc19
5.0 88.0 loc20
49.0 51.0 loc21
65.0 47.0 loc22
100.0 90.0 loc23
61.0 97.0 loc24
23.0 59.0 loc25
44.0 18.0 loc26
13.0 69.0 loc27
22.0 74.0 loc28
100.0 68.0 loc29
