/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
40
/*The Depot*/
0.5322231247697802 0.06818285811402047 depot
/*The Locations (x_coor y_coor name)*/
83.0 29.0 loc1
93.0 89.0 loc2
71.0 26.0 loc3
18.0 52.0 loc4
60.0 14.0 loc5
83.0 12.0 loc6
58.0 3.0 loc7
25.0 50.0 loc8
51.0 41.0 loc9
77.0 66.0 loc10
74.0 16.0 loc11
43.0 42.0 loc12
1.0 74.0 loc13
88.0 49.0 loc14
1.0 95.0 loc15
32.0 41.0 loc16
20.0 61.0 loc17
78.0 98.0 loc18
48.0 46.0 loc19
90.0 2.0 loc20
77.0 13.0 loc21
6.0 82.0 loc22
39.0 61.0 loc23
35.0 38.0 loc24
80.0 13.0 loc25
93.0 2.0 loc26
36.0 59.0 loc27
67.0 87.0 loc28
20.0 21.0 loc29
34.0 35.0 loc30
18.0 37.0 loc31
47.0 15.0 loc32
38.0 59.0 loc33
91.0 95.0 loc34
11.0 48.0 loc35
85.0 16.0 loc36
84.0 40.0 loc37
86.0 31.0 loc38
52.0 77.0 loc39
