/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.27038747022358256 0.3769861782524204 depot
/*The Locations (x_coor y_coor name)*/
76.0 12.0 loc1
78.0 4.0 loc2
41.0 4.0 loc3
80.0 48.0 loc4
79.0 36.0 loc5
9.0 66.0 loc6
80.0 5.0 loc7
83.0 39.0 loc8
78.0 33.0 loc9
36.0 28.0 loc10
6.0 48.0 loc11
39.0 0.0 loc12
15.0 48.0 loc13
11.0 16.0 loc14
59.0 60.0 loc15
28.0 93.0 loc16
12.0 89.0 loc17
75.0 60.0 loc18
19.0 59.0 loc19
40.0 36.0 loc20
70.0 24.0 loc21
5.0 55.0 loc22
7.0 48.0 loc23
52.0 29.0 loc24
64.0 20.0 loc25
100.0 46.0 loc26
1.0 69.0 loc27
65.0 93.0 loc28
17.0 23.0 loc29
0.0 15.0 loc30
76.0 42.0 loc31
88.0 87.0 loc32
34.0 17.0 loc33
30.0 94.0 loc34
30.0 9.0 loc35
29.0 26.0 loc36
69.0 39.0 loc37
75.0 17.0 loc38
11.0 89.0 loc39
91.0 46.0 loc40
70.0 96.0 loc41
43.0 34.0 loc42
20.0 65.0 loc43
49.0 7.0 loc44
13.0 17.0 loc45
85.0 45.0 loc46
77.0 17.0 loc47
51.0 48.0 loc48
76.0 71.0 loc49
