/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
90
/*The Depot*/
0.8303587752043827 0.40315277157840224 depot
/*The Locations (x_coor y_coor name)*/
56.0 65.0 loc1
31.0 89.0 loc2
30.0 27.0 loc3
87.0 18.0 loc4
88.0 48.0 loc5
83.0 13.0 loc6
1.0 95.0 loc7
4.0 29.0 loc8
32.0 24.0 loc9
53.0 33.0 loc10
9.0 84.0 loc11
66.0 49.0 loc12
67.0 9.0 loc13
8.0 57.0 loc14
31.0 91.0 loc15
95.0 18.0 loc16
0.0 21.0 loc17
3.0 75.0 loc18
0.0 98.0 loc19
66.0 74.0 loc20
76.0 26.0 loc21
73.0 29.0 loc22
100.0 10.0 loc23
79.0 19.0 loc24
56.0 79.0 loc25
24.0 15.0 loc26
10.0 64.0 loc27
24.0 24.0 loc28
34.0 94.0 loc29
7.0 32.0 loc30
42.0 21.0 loc31
19.0 85.0 loc32
57.0 49.0 loc33
62.0 14.0 loc34
22.0 97.0 loc35
14.0 82.0 loc36
46.0 29.0 loc37
70.0 27.0 loc38
58.0 8.0 loc39
58.0 54.0 loc40
74.0 49.0 loc41
22.0 99.0 loc42
4.0 43.0 loc43
50.0 43.0 loc44
86.0 57.0 loc45
18.0 7.0 loc46
9.0 68.0 loc47
19.0 29.0 loc48
58.0 9.0 loc49
67.0 79.0 loc50
55.0 36.0 loc51
7.0 40.0 loc52
45.0 30.0 loc53
24.0 55.0 loc54
75.0 17.0 loc55
4.0 52.0 loc56
25.0 28.0 loc57
20.0 1.0 loc58
98.0 17.0 loc59
26.0 87.0 loc60
81.0 93.0 loc61
21.0 69.0 loc62
15.0 64.0 loc63
23.0 89.0 loc64
89.0 83.0 loc65
0.0 49.0 loc66
41.0 22.0 loc67
34.0 29.0 loc68
16.0 0.0 loc69
34.0 94.0 loc70
68.0 64.0 loc71
12.0 77.0 loc72
26.0 2.0 loc73
73.0 31.0 loc74
98.0 88.0 loc75
74.0 79.0 loc76
33.0 54.0 loc77
86.0 66.0 loc78
99.0 70.0 loc79
83.0 70.0 loc80
10.0 85.0 loc81
77.0 94.0 loc82
91.0 90.0 loc83
12.0 86.0 loc84
27.0 74.0 loc85
55.0 9.0 loc86
66.0 84.0 loc87
25.0 37.0 loc88
0.0 30.0 loc89
