/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
80
/*The Depot*/
0.5782351832313574 0.28775288971649826 depot
/*The Locations (x_coor y_coor name)*/
89.0 48.0 loc1
22.0 46.0 loc2
94.0 49.0 loc3
72.0 74.0 loc4
24.0 37.0 loc5
51.0 62.0 loc6
81.0 64.0 loc7
7.0 70.0 loc8
35.0 78.0 loc9
43.0 69.0 loc10
1.0 52.0 loc11
89.0 24.0 loc12
56.0 100.0 loc13
6.0 82.0 loc14
83.0 100.0 loc15
37.0 84.0 loc16
92.0 79.0 loc17
35.0 73.0 loc18
46.0 39.0 loc19
23.0 4.0 loc20
21.0 7.0 loc21
29.0 96.0 loc22
36.0 42.0 loc23
28.0 76.0 loc24
51.0 64.0 loc25
87.0 46.0 loc26
63.0 38.0 loc27
95.0 42.0 loc28
86.0 85.0 loc29
74.0 23.0 loc30
65.0 85.0 loc31
47.0 85.0 loc32
90.0 6.0 loc33
47.0 62.0 loc34
98.0 32.0 loc35
53.0 66.0 loc36
60.0 17.0 loc37
24.0 86.0 loc38
87.0 21.0 loc39
19.0 14.0 loc40
57.0 80.0 loc41
19.0 12.0 loc42
50.0 50.0 loc43
42.0 73.0 loc44
98.0 20.0 loc45
37.0 86.0 loc46
98.0 53.0 loc47
20.0 3.0 loc48
59.0 76.0 loc49
1.0 80.0 loc50
37.0 23.0 loc51
9.0 44.0 loc52
8.0 63.0 loc53
30.0 70.0 loc54
62.0 51.0 loc55
84.0 0.0 loc56
62.0 34.0 loc57
28.0 85.0 loc58
29.0 83.0 loc59
8.0 93.0 loc60
15.0 66.0 loc61
1.0 82.0 loc62
37.0 4.0 loc63
47.0 57.0 loc64
34.0 15.0 loc65
81.0 69.0 loc66
85.0 16.0 loc67
82.0 94.0 loc68
39.0 18.0 loc69
58.0 39.0 loc70
43.0 68.0 loc71
25.0 59.0 loc72
40.0 28.0 loc73
62.0 82.0 loc74
30.0 12.0 loc75
11.0 26.0 loc76
8.0 91.0 loc77
18.0 48.0 loc78
37.0 6.0 loc79
