/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
90
/*The Depot*/
0.11474979876211189 0.9808775871331938 depot
/*The Locations (x_coor y_coor name)*/
67.0 25.0 loc1
0.0 51.0 loc2
55.0 22.0 loc3
35.0 36.0 loc4
3.0 4.0 loc5
79.0 91.0 loc6
68.0 42.0 loc7
80.0 63.0 loc8
83.0 52.0 loc9
71.0 92.0 loc10
80.0 32.0 loc11
75.0 7.0 loc12
94.0 85.0 loc13
100.0 6.0 loc14
42.0 68.0 loc15
17.0 62.0 loc16
79.0 33.0 loc17
93.0 81.0 loc18
60.0 18.0 loc19
100.0 19.0 loc20
51.0 70.0 loc21
68.0 79.0 loc22
7.0 99.0 loc23
97.0 17.0 loc24
92.0 84.0 loc25
79.0 15.0 loc26
20.0 38.0 loc27
19.0 17.0 loc28
36.0 84.0 loc29
94.0 25.0 loc30
83.0 17.0 loc31
33.0 97.0 loc32
17.0 27.0 loc33
51.0 96.0 loc34
50.0 19.0 loc35
69.0 20.0 loc36
68.0 73.0 loc37
66.0 35.0 loc38
4.0 27.0 loc39
34.0 83.0 loc40
48.0 82.0 loc41
41.0 79.0 loc42
22.0 12.0 loc43
55.0 4.0 loc44
40.0 66.0 loc45
73.0 66.0 loc46
51.0 31.0 loc47
55.0 62.0 loc48
62.0 98.0 loc49
1.0 7.0 loc50
11.0 52.0 loc51
61.0 76.0 loc52
67.0 72.0 loc53
67.0 61.0 loc54
98.0 49.0 loc55
76.0 38.0 loc56
20.0 96.0 loc57
29.0 36.0 loc58
81.0 54.0 loc59
11.0 2.0 loc60
69.0 96.0 loc61
31.0 81.0 loc62
14.0 93.0 loc63
20.0 31.0 loc64
42.0 75.0 loc65
24.0 86.0 loc66
79.0 12.0 loc67
1.0 84.0 loc68
39.0 47.0 loc69
89.0 76.0 loc70
31.0 4.0 loc71
36.0 3.0 loc72
83.0 99.0 loc73
1.0 73.0 loc74
56.0 38.0 loc75
74.0 58.0 loc76
45.0 10.0 loc77
95.0 86.0 loc78
13.0 27.0 loc79
41.0 56.0 loc80
29.0 8.0 loc81
34.0 37.0 loc82
46.0 68.0 loc83
0.0 40.0 loc84
67.0 82.0 loc85
13.0 74.0 loc86
52.0 69.0 loc87
61.0 93.0 loc88
85.0 5.0 loc89
