/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
60
/*The Depot*/
0.1265436542237771 0.7412049947498873 depot
/*The Locations (x_coor y_coor name)*/
41.0 53.0 loc1
49.0 66.0 loc2
36.0 12.0 loc3
30.0 99.0 loc4
8.0 86.0 loc5
57.0 3.0 loc6
81.0 84.0 loc7
70.0 86.0 loc8
92.0 69.0 loc9
93.0 44.0 loc10
29.0 37.0 loc11
71.0 54.0 loc12
91.0 27.0 loc13
27.0 34.0 loc14
80.0 99.0 loc15
97.0 18.0 loc16
39.0 14.0 loc17
61.0 87.0 loc18
44.0 25.0 loc19
52.0 80.0 loc20
95.0 78.0 loc21
78.0 35.0 loc22
100.0 72.0 loc23
5.0 5.0 loc24
17.0 17.0 loc25
55.0 86.0 loc26
72.0 37.0 loc27
17.0 97.0 loc28
34.0 16.0 loc29
78.0 81.0 loc30
88.0 47.0 loc31
76.0 68.0 loc32
44.0 85.0 loc33
62.0 46.0 loc34
93.0 64.0 loc35
1.0 46.0 loc36
62.0 84.0 loc37
13.0 92.0 loc38
56.0 47.0 loc39
94.0 0.0 loc40
87.0 4.0 loc41
65.0 92.0 loc42
56.0 48.0 loc43
20.0 65.0 loc44
79.0 9.0 loc45
49.0 28.0 loc46
43.0 28.0 loc47
69.0 77.0 loc48
97.0 3.0 loc49
82.0 58.0 loc50
3.0 60.0 loc51
76.0 80.0 loc52
92.0 4.0 loc53
100.0 41.0 loc54
46.0 45.0 loc55
27.0 82.0 loc56
96.0 88.0 loc57
10.0 30.0 loc58
36.0 27.0 loc59
