/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
30
/*The Depot*/
0.45624705778009256 0.8988281541918405 depot
/*The Locations (x_coor y_coor name)*/
46.0 14.0 loc1
27.0 100.0 loc2
90.0 47.0 loc3
62.0 29.0 loc4
28.0 83.0 loc5
21.0 42.0 loc6
86.0 50.0 loc7
50.0 41.0 loc8
27.0 51.0 loc9
14.0 2.0 loc10
87.0 90.0 loc11
34.0 68.0 loc12
67.0 3.0 loc13
98.0 16.0 loc14
34.0 61.0 loc15
100.0 91.0 loc16
5.0 69.0 loc17
57.0 100.0 loc18
17.0 26.0 loc19
27.0 23.0 loc20
56.0 56.0 loc21
18.0 58.0 loc22
3.0 88.0 loc23
36.0 17.0 loc24
80.0 79.0 loc25
11.0 66.0 loc26
63.0 76.0 loc27
50.0 99.0 loc28
67.0 0.0 loc29
