/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
30
/*The Depot*/
0.9122895307489153 0.5581787567479357 depot
/*The Locations (x_coor y_coor name)*/
46.0 69.0 loc1
63.0 6.0 loc2
41.0 0.0 loc3
47.0 78.0 loc4
69.0 24.0 loc5
59.0 91.0 loc6
84.0 9.0 loc7
45.0 93.0 loc8
58.0 14.0 loc9
14.0 79.0 loc10
55.0 42.0 loc11
89.0 5.0 loc12
64.0 77.0 loc13
83.0 2.0 loc14
67.0 48.0 loc15
19.0 68.0 loc16
13.0 74.0 loc17
59.0 23.0 loc18
39.0 90.0 loc19
24.0 39.0 loc20
2.0 63.0 loc21
43.0 54.0 loc22
19.0 46.0 loc23
15.0 68.0 loc24
76.0 54.0 loc25
27.0 25.0 loc26
75.0 27.0 loc27
53.0 17.0 loc28
39.0 86.0 loc29
