/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
40
/*The Depot*/
0.3299233562639752 0.949199854072908 depot
/*The Locations (x_coor y_coor name)*/
87.0 74.0 loc1
74.0 46.0 loc2
3.0 47.0 loc3
1.0 95.0 loc4
98.0 49.0 loc5
73.0 69.0 loc6
55.0 43.0 loc7
10.0 10.0 loc8
6.0 22.0 loc9
16.0 96.0 loc10
69.0 9.0 loc11
29.0 6.0 loc12
37.0 98.0 loc13
36.0 100.0 loc14
75.0 32.0 loc15
76.0 5.0 loc16
3.0 50.0 loc17
40.0 16.0 loc18
88.0 55.0 loc19
37.0 65.0 loc20
89.0 54.0 loc21
60.0 43.0 loc22
59.0 44.0 loc23
48.0 48.0 loc24
26.0 34.0 loc25
0.0 99.0 loc26
13.0 41.0 loc27
1.0 82.0 loc28
74.0 34.0 loc29
22.0 0.0 loc30
55.0 61.0 loc31
43.0 70.0 loc32
24.0 60.0 loc33
28.0 74.0 loc34
78.0 28.0 loc35
59.0 100.0 loc36
2.0 27.0 loc37
15.0 55.0 loc38
19.0 32.0 loc39
