/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
40
/*The Depot*/
0.2662166273776594 0.45212593080554453 depot
/*The Locations (x_coor y_coor name)*/
74.0 84.0 loc1
37.0 63.0 loc2
67.0 15.0 loc3
64.0 70.0 loc4
66.0 80.0 loc5
41.0 62.0 loc6
31.0 94.0 loc7
18.0 26.0 loc8
94.0 25.0 loc9
69.0 80.0 loc10
75.0 84.0 loc11
58.0 86.0 loc12
76.0 66.0 loc13
46.0 43.0 loc14
69.0 96.0 loc15
36.0 82.0 loc16
47.0 25.0 loc17
83.0 43.0 loc18
7.0 28.0 loc19
46.0 70.0 loc20
64.0 40.0 loc21
39.0 71.0 loc22
34.0 73.0 loc23
75.0 2.0 loc24
96.0 78.0 loc25
65.0 77.0 loc26
86.0 64.0 loc27
18.0 83.0 loc28
72.0 55.0 loc29
30.0 33.0 loc30
53.0 10.0 loc31
0.0 25.0 loc32
4.0 14.0 loc33
94.0 87.0 loc34
67.0 20.0 loc35
37.0 41.0 loc36
25.0 99.0 loc37
11.0 87.0 loc38
54.0 6.0 loc39
