/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.29851801455927895 0.47130126913294024 depot
/*The Locations (x_coor y_coor name)*/
12.0 63.0 loc1
28.0 42.0 loc2
90.0 46.0 loc3
61.0 37.0 loc4
1.0 99.0 loc5
44.0 68.0 loc6
69.0 75.0 loc7
90.0 99.0 loc8
60.0 55.0 loc9
21.0 27.0 loc10
77.0 97.0 loc11
4.0 17.0 loc12
40.0 62.0 loc13
22.0 20.0 loc14
13.0 61.0 loc15
74.0 53.0 loc16
13.0 57.0 loc17
34.0 44.0 loc18
41.0 61.0 loc19
0.0 14.0 loc20
67.0 98.0 loc21
8.0 38.0 loc22
9.0 44.0 loc23
91.0 60.0 loc24
78.0 19.0 loc25
96.0 73.0 loc26
43.0 51.0 loc27
68.0 18.0 loc28
89.0 82.0 loc29
45.0 19.0 loc30
9.0 90.0 loc31
23.0 93.0 loc32
15.0 49.0 loc33
0.0 23.0 loc34
48.0 29.0 loc35
83.0 32.0 loc36
100.0 46.0 loc37
83.0 0.0 loc38
35.0 79.0 loc39
51.0 19.0 loc40
5.0 4.0 loc41
54.0 25.0 loc42
16.0 41.0 loc43
85.0 31.0 loc44
12.0 57.0 loc45
90.0 20.0 loc46
54.0 81.0 loc47
37.0 83.0 loc48
52.0 36.0 loc49
58.0 21.0 loc50
5.0 91.0 loc51
8.0 74.0 loc52
33.0 54.0 loc53
78.0 74.0 loc54
18.0 70.0 loc55
47.0 23.0 loc56
81.0 14.0 loc57
31.0 13.0 loc58
49.0 62.0 loc59
4.0 85.0 loc60
39.0 90.0 loc61
47.0 68.0 loc62
24.0 71.0 loc63
5.0 50.0 loc64
9.0 82.0 loc65
55.0 1.0 loc66
53.0 83.0 loc67
90.0 91.0 loc68
5.0 61.0 loc69
92.0 87.0 loc70
61.0 10.0 loc71
72.0 85.0 loc72
99.0 98.0 loc73
91.0 96.0 loc74
96.0 94.0 loc75
49.0 69.0 loc76
25.0 32.0 loc77
61.0 70.0 loc78
17.0 99.0 loc79
88.0 15.0 loc80
27.0 99.0 loc81
81.0 63.0 loc82
67.0 83.0 loc83
98.0 51.0 loc84
1.0 59.0 loc85
66.0 52.0 loc86
42.0 24.0 loc87
68.0 71.0 loc88
8.0 33.0 loc89
52.0 81.0 loc90
73.0 40.0 loc91
92.0 40.0 loc92
16.0 62.0 loc93
89.0 73.0 loc94
54.0 70.0 loc95
42.0 80.0 loc96
65.0 25.0 loc97
72.0 85.0 loc98
27.0 99.0 loc99
