/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
80
/*The Depot*/
0.5224856658636914 0.7333309692611806 depot
/*The Locations (x_coor y_coor name)*/
57.0 39.0 loc1
6.0 69.0 loc2
69.0 94.0 loc3
13.0 46.0 loc4
82.0 92.0 loc5
82.0 55.0 loc6
59.0 14.0 loc7
74.0 8.0 loc8
23.0 31.0 loc9
79.0 81.0 loc10
52.0 96.0 loc11
96.0 85.0 loc12
24.0 0.0 loc13
81.0 73.0 loc14
88.0 100.0 loc15
50.0 6.0 loc16
29.0 40.0 loc17
36.0 6.0 loc18
95.0 65.0 loc19
61.0 30.0 loc20
46.0 66.0 loc21
89.0 37.0 loc22
50.0 44.0 loc23
3.0 34.0 loc24
7.0 0.0 loc25
0.0 90.0 loc26
33.0 90.0 loc27
28.0 86.0 loc28
88.0 40.0 loc29
72.0 92.0 loc30
36.0 56.0 loc31
97.0 18.0 loc32
67.0 23.0 loc33
91.0 62.0 loc34
65.0 36.0 loc35
85.0 5.0 loc36
81.0 42.0 loc37
69.0 26.0 loc38
43.0 57.0 loc39
92.0 17.0 loc40
21.0 19.0 loc41
42.0 91.0 loc42
76.0 19.0 loc43
68.0 92.0 loc44
89.0 22.0 loc45
34.0 67.0 loc46
87.0 83.0 loc47
92.0 15.0 loc48
77.0 38.0 loc49
2.0 64.0 loc50
66.0 13.0 loc51
26.0 19.0 loc52
95.0 0.0 loc53
45.0 7.0 loc54
76.0 48.0 loc55
42.0 88.0 loc56
47.0 8.0 loc57
85.0 57.0 loc58
19.0 68.0 loc59
54.0 100.0 loc60
74.0 61.0 loc61
49.0 36.0 loc62
39.0 42.0 loc63
33.0 40.0 loc64
19.0 62.0 loc65
72.0 38.0 loc66
38.0 17.0 loc67
89.0 2.0 loc68
15.0 76.0 loc69
52.0 63.0 loc70
59.0 71.0 loc71
90.0 22.0 loc72
56.0 20.0 loc73
9.0 34.0 loc74
17.0 17.0 loc75
100.0 91.0 loc76
39.0 5.0 loc77
88.0 76.0 loc78
14.0 50.0 loc79
