/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
70
/*The Depot*/
0.7452263262005485 0.8325174078611627 depot
/*The Locations (x_coor y_coor name)*/
61.0 73.0 loc1
74.0 71.0 loc2
46.0 8.0 loc3
91.0 51.0 loc4
74.0 18.0 loc5
95.0 94.0 loc6
86.0 82.0 loc7
18.0 36.0 loc8
100.0 88.0 loc9
27.0 75.0 loc10
47.0 57.0 loc11
64.0 99.0 loc12
0.0 74.0 loc13
66.0 28.0 loc14
97.0 30.0 loc15
18.0 37.0 loc16
55.0 21.0 loc17
11.0 49.0 loc18
22.0 100.0 loc19
4.0 61.0 loc20
77.0 77.0 loc21
1.0 87.0 loc22
52.0 82.0 loc23
84.0 62.0 loc24
97.0 1.0 loc25
70.0 2.0 loc26
19.0 70.0 loc27
66.0 99.0 loc28
98.0 43.0 loc29
76.0 70.0 loc30
97.0 27.0 loc31
76.0 14.0 loc32
48.0 95.0 loc33
65.0 42.0 loc34
70.0 95.0 loc35
31.0 81.0 loc36
59.0 48.0 loc37
27.0 7.0 loc38
70.0 21.0 loc39
1.0 91.0 loc40
21.0 87.0 loc41
53.0 94.0 loc42
6.0 49.0 loc43
53.0 56.0 loc44
5.0 21.0 loc45
18.0 56.0 loc46
59.0 42.0 loc47
64.0 96.0 loc48
20.0 34.0 loc49
55.0 99.0 loc50
82.0 85.0 loc51
56.0 74.0 loc52
14.0 38.0 loc53
16.0 68.0 loc54
94.0 79.0 loc55
92.0 66.0 loc56
13.0 36.0 loc57
52.0 61.0 loc58
59.0 82.0 loc59
86.0 83.0 loc60
86.0 55.0 loc61
32.0 85.0 loc62
87.0 89.0 loc63
23.0 62.0 loc64
92.0 33.0 loc65
42.0 64.0 loc66
35.0 78.0 loc67
86.0 79.0 loc68
7.0 63.0 loc69
