/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
60
/*The Depot*/
0.3463658739222667 0.058306887229780835 depot
/*The Locations (x_coor y_coor name)*/
96.0 21.0 loc1
77.0 35.0 loc2
94.0 3.0 loc3
17.0 13.0 loc4
11.0 48.0 loc5
57.0 90.0 loc6
73.0 93.0 loc7
23.0 97.0 loc8
5.0 89.0 loc9
94.0 16.0 loc10
29.0 40.0 loc11
22.0 36.0 loc12
88.0 60.0 loc13
46.0 43.0 loc14
44.0 48.0 loc15
74.0 14.0 loc16
20.0 93.0 loc17
80.0 37.0 loc18
85.0 97.0 loc19
50.0 85.0 loc20
12.0 8.0 loc21
70.0 7.0 loc22
43.0 93.0 loc23
98.0 24.0 loc24
5.0 75.0 loc25
50.0 57.0 loc26
84.0 76.0 loc27
75.0 68.0 loc28
59.0 27.0 loc29
20.0 15.0 loc30
48.0 96.0 loc31
38.0 1.0 loc32
70.0 87.0 loc33
0.0 33.0 loc34
8.0 84.0 loc35
40.0 19.0 loc36
10.0 64.0 loc37
60.0 35.0 loc38
18.0 17.0 loc39
30.0 44.0 loc40
41.0 68.0 loc41
62.0 52.0 loc42
40.0 15.0 loc43
6.0 89.0 loc44
85.0 89.0 loc45
99.0 58.0 loc46
63.0 22.0 loc47
91.0 3.0 loc48
57.0 85.0 loc49
66.0 100.0 loc50
69.0 76.0 loc51
62.0 69.0 loc52
33.0 26.0 loc53
59.0 77.0 loc54
18.0 74.0 loc55
32.0 48.0 loc56
92.0 3.0 loc57
72.0 1.0 loc58
61.0 68.0 loc59
