/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
30
/*The Depot*/
0.5385427173012096 0.8983007134706771 depot
/*The Locations (x_coor y_coor name)*/
92.0 90.0 loc1
54.0 79.0 loc2
3.0 6.0 loc3
33.0 82.0 loc4
61.0 74.0 loc5
59.0 64.0 loc6
32.0 26.0 loc7
32.0 48.0 loc8
86.0 24.0 loc9
1.0 33.0 loc10
33.0 45.0 loc11
65.0 30.0 loc12
60.0 64.0 loc13
84.0 0.0 loc14
47.0 20.0 loc15
98.0 14.0 loc16
3.0 75.0 loc17
65.0 84.0 loc18
89.0 97.0 loc19
13.0 70.0 loc20
46.0 95.0 loc21
89.0 28.0 loc22
97.0 5.0 loc23
10.0 88.0 loc24
83.0 65.0 loc25
39.0 39.0 loc26
80.0 49.0 loc27
43.0 44.0 loc28
9.0 69.0 loc29
