/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
30
/*The Depot*/
0.8777908127018258 0.5952851078418536 depot
/*The Locations (x_coor y_coor name)*/
50.0 75.0 loc1
18.0 67.0 loc2
69.0 95.0 loc3
29.0 8.0 loc4
99.0 73.0 loc5
37.0 2.0 loc6
13.0 2.0 loc7
76.0 79.0 loc8
9.0 28.0 loc9
42.0 84.0 loc10
77.0 3.0 loc11
24.0 66.0 loc12
83.0 1.0 loc13
24.0 30.0 loc14
50.0 50.0 loc15
55.0 21.0 loc16
15.0 65.0 loc17
84.0 11.0 loc18
1.0 43.0 loc19
56.0 5.0 loc20
16.0 50.0 loc21
22.0 42.0 loc22
22.0 34.0 loc23
32.0 11.0 loc24
18.0 30.0 loc25
22.0 52.0 loc26
39.0 91.0 loc27
51.0 50.0 loc28
9.0 38.0 loc29
