/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
80
/*The Depot*/
0.26717232831745685 0.8633722161573556 depot
/*The Locations (x_coor y_coor name)*/
99.0 18.0 loc1
32.0 4.0 loc2
94.0 67.0 loc3
84.0 88.0 loc4
45.0 46.0 loc5
75.0 62.0 loc6
58.0 50.0 loc7
19.0 74.0 loc8
76.0 65.0 loc9
81.0 32.0 loc10
27.0 74.0 loc11
100.0 45.0 loc12
57.0 93.0 loc13
13.0 48.0 loc14
20.0 65.0 loc15
53.0 17.0 loc16
3.0 18.0 loc17
4.0 3.0 loc18
84.0 1.0 loc19
50.0 59.0 loc20
92.0 22.0 loc21
45.0 6.0 loc22
69.0 13.0 loc23
67.0 48.0 loc24
36.0 34.0 loc25
11.0 38.0 loc26
31.0 9.0 loc27
94.0 67.0 loc28
24.0 61.0 loc29
12.0 13.0 loc30
42.0 44.0 loc31
23.0 19.0 loc32
8.0 55.0 loc33
6.0 20.0 loc34
22.0 71.0 loc35
48.0 98.0 loc36
0.0 69.0 loc37
20.0 77.0 loc38
81.0 32.0 loc39
95.0 49.0 loc40
50.0 47.0 loc41
20.0 34.0 loc42
16.0 65.0 loc43
13.0 58.0 loc44
33.0 48.0 loc45
54.0 86.0 loc46
81.0 44.0 loc47
87.0 68.0 loc48
77.0 99.0 loc49
4.0 100.0 loc50
80.0 38.0 loc51
65.0 11.0 loc52
56.0 51.0 loc53
84.0 81.0 loc54
38.0 69.0 loc55
100.0 97.0 loc56
29.0 35.0 loc57
66.0 1.0 loc58
95.0 59.0 loc59
60.0 47.0 loc60
86.0 27.0 loc61
66.0 46.0 loc62
6.0 97.0 loc63
82.0 16.0 loc64
90.0 52.0 loc65
17.0 91.0 loc66
89.0 77.0 loc67
34.0 21.0 loc68
90.0 69.0 loc69
31.0 99.0 loc70
78.0 57.0 loc71
96.0 100.0 loc72
72.0 65.0 loc73
13.0 7.0 loc74
55.0 63.0 loc75
39.0 2.0 loc76
67.0 6.0 loc77
73.0 80.0 loc78
62.0 47.0 loc79
