/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.14404079838110861 0.6455366719280512 depot
/*The Locations (x_coor y_coor name)*/
83.0 89.0 loc1
0.0 43.0 loc2
72.0 86.0 loc3
25.0 96.0 loc4
38.0 92.0 loc5
76.0 50.0 loc6
36.0 50.0 loc7
90.0 20.0 loc8
45.0 91.0 loc9
54.0 87.0 loc10
21.0 27.0 loc11
36.0 20.0 loc12
86.0 88.0 loc13
1.0 36.0 loc14
10.0 41.0 loc15
32.0 87.0 loc16
85.0 64.0 loc17
49.0 67.0 loc18
28.0 1.0 loc19
80.0 13.0 loc20
18.0 91.0 loc21
41.0 47.0 loc22
42.0 51.0 loc23
91.0 9.0 loc24
50.0 56.0 loc25
22.0 41.0 loc26
96.0 99.0 loc27
45.0 14.0 loc28
30.0 18.0 loc29
83.0 41.0 loc30
22.0 36.0 loc31
72.0 66.0 loc32
76.0 93.0 loc33
39.0 24.0 loc34
63.0 100.0 loc35
28.0 95.0 loc36
50.0 54.0 loc37
74.0 48.0 loc38
15.0 100.0 loc39
97.0 41.0 loc40
2.0 66.0 loc41
5.0 38.0 loc42
71.0 56.0 loc43
89.0 98.0 loc44
42.0 5.0 loc45
26.0 41.0 loc46
79.0 30.0 loc47
2.0 44.0 loc48
34.0 44.0 loc49
62.0 91.0 loc50
9.0 58.0 loc51
42.0 96.0 loc52
76.0 75.0 loc53
7.0 68.0 loc54
83.0 14.0 loc55
80.0 75.0 loc56
68.0 87.0 loc57
76.0 35.0 loc58
17.0 65.0 loc59
33.0 83.0 loc60
88.0 41.0 loc61
57.0 99.0 loc62
17.0 64.0 loc63
63.0 60.0 loc64
0.0 10.0 loc65
52.0 79.0 loc66
63.0 41.0 loc67
16.0 4.0 loc68
20.0 81.0 loc69
89.0 39.0 loc70
37.0 5.0 loc71
31.0 33.0 loc72
46.0 74.0 loc73
65.0 83.0 loc74
95.0 64.0 loc75
87.0 69.0 loc76
83.0 18.0 loc77
63.0 55.0 loc78
51.0 45.0 loc79
42.0 51.0 loc80
5.0 7.0 loc81
1.0 13.0 loc82
79.0 61.0 loc83
96.0 93.0 loc84
7.0 56.0 loc85
7.0 1.0 loc86
19.0 50.0 loc87
24.0 91.0 loc88
72.0 60.0 loc89
21.0 92.0 loc90
52.0 27.0 loc91
14.0 50.0 loc92
4.0 31.0 loc93
88.0 1.0 loc94
26.0 71.0 loc95
5.0 2.0 loc96
4.0 14.0 loc97
4.0 78.0 loc98
18.0 67.0 loc99
