/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.7048028307945243 0.7762241210726037 depot
/*The Locations (x_coor y_coor name)*/
59.0 70.0 loc1
17.0 33.0 loc2
12.0 21.0 loc3
95.0 87.0 loc4
83.0 99.0 loc5
93.0 36.0 loc6
92.0 95.0 loc7
6.0 79.0 loc8
38.0 7.0 loc9
16.0 89.0 loc10
12.0 38.0 loc11
70.0 7.0 loc12
72.0 70.0 loc13
84.0 97.0 loc14
74.0 14.0 loc15
28.0 38.0 loc16
20.0 48.0 loc17
8.0 66.0 loc18
87.0 10.0 loc19
30.0 85.0 loc20
56.0 37.0 loc21
46.0 54.0 loc22
100.0 31.0 loc23
87.0 99.0 loc24
2.0 67.0 loc25
42.0 71.0 loc26
100.0 14.0 loc27
27.0 51.0 loc28
70.0 31.0 loc29
27.0 92.0 loc30
71.0 2.0 loc31
18.0 23.0 loc32
45.0 57.0 loc33
93.0 3.0 loc34
77.0 46.0 loc35
49.0 76.0 loc36
10.0 99.0 loc37
78.0 83.0 loc38
80.0 96.0 loc39
53.0 97.0 loc40
94.0 66.0 loc41
80.0 33.0 loc42
29.0 64.0 loc43
19.0 97.0 loc44
61.0 71.0 loc45
12.0 2.0 loc46
81.0 96.0 loc47
54.0 62.0 loc48
80.0 41.0 loc49
