/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.02525558516665427 0.34064839726498963 depot
/*The Locations (x_coor y_coor name)*/
84.0 81.0 loc1
35.0 38.0 loc2
51.0 14.0 loc3
12.0 97.0 loc4
44.0 83.0 loc5
13.0 41.0 loc6
71.0 61.0 loc7
46.0 58.0 loc8
11.0 78.0 loc9
75.0 19.0 loc10
98.0 8.0 loc11
62.0 18.0 loc12
17.0 51.0 loc13
31.0 33.0 loc14
51.0 62.0 loc15
0.0 88.0 loc16
38.0 11.0 loc17
0.0 44.0 loc18
64.0 88.0 loc19
24.0 14.0 loc20
90.0 68.0 loc21
9.0 1.0 loc22
35.0 51.0 loc23
42.0 33.0 loc24
78.0 11.0 loc25
27.0 21.0 loc26
89.0 69.0 loc27
26.0 79.0 loc28
93.0 82.0 loc29
89.0 14.0 loc30
84.0 23.0 loc31
70.0 84.0 loc32
85.0 90.0 loc33
55.0 59.0 loc34
45.0 10.0 loc35
55.0 22.0 loc36
61.0 80.0 loc37
62.0 79.0 loc38
33.0 27.0 loc39
10.0 34.0 loc40
87.0 63.0 loc41
5.0 4.0 loc42
48.0 44.0 loc43
47.0 53.0 loc44
48.0 86.0 loc45
86.0 99.0 loc46
50.0 12.0 loc47
10.0 85.0 loc48
52.0 4.0 loc49
