/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
70
/*The Depot*/
0.018027141882375863 0.486473673898412 depot
/*The Locations (x_coor y_coor name)*/
67.0 86.0 loc1
14.0 10.0 loc2
61.0 64.0 loc3
95.0 56.0 loc4
7.0 61.0 loc5
56.0 90.0 loc6
75.0 49.0 loc7
56.0 48.0 loc8
74.0 19.0 loc9
74.0 30.0 loc10
0.0 51.0 loc11
70.0 11.0 loc12
49.0 67.0 loc13
74.0 20.0 loc14
88.0 8.0 loc15
23.0 66.0 loc16
94.0 37.0 loc17
1.0 83.0 loc18
77.0 94.0 loc19
87.0 67.0 loc20
84.0 25.0 loc21
21.0 36.0 loc22
51.0 8.0 loc23
31.0 42.0 loc24
46.0 90.0 loc25
52.0 25.0 loc26
41.0 33.0 loc27
76.0 21.0 loc28
48.0 0.0 loc29
65.0 83.0 loc30
56.0 77.0 loc31
18.0 31.0 loc32
62.0 27.0 loc33
46.0 60.0 loc34
57.0 57.0 loc35
89.0 9.0 loc36
58.0 87.0 loc37
70.0 48.0 loc38
52.0 83.0 loc39
43.0 98.0 loc40
68.0 100.0 loc41
95.0 72.0 loc42
98.0 90.0 loc43
64.0 98.0 loc44
63.0 46.0 loc45
53.0 48.0 loc46
17.0 3.0 loc47
18.0 62.0 loc48
2.0 22.0 loc49
12.0 90.0 loc50
5.0 8.0 loc51
62.0 29.0 loc52
80.0 1.0 loc53
14.0 49.0 loc54
63.0 19.0 loc55
84.0 64.0 loc56
60.0 51.0 loc57
60.0 92.0 loc58
1.0 81.0 loc59
38.0 4.0 loc60
59.0 11.0 loc61
6.0 31.0 loc62
85.0 46.0 loc63
50.0 43.0 loc64
43.0 17.0 loc65
1.0 44.0 loc66
78.0 94.0 loc67
96.0 39.0 loc68
52.0 13.0 loc69
