/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
80
/*The Depot*/
0.8971121480736146 0.34267190065686737 depot
/*The Locations (x_coor y_coor name)*/
61.0 50.0 loc1
89.0 58.0 loc2
82.0 58.0 loc3
37.0 60.0 loc4
71.0 75.0 loc5
10.0 10.0 loc6
26.0 70.0 loc7
57.0 52.0 loc8
60.0 25.0 loc9
20.0 33.0 loc10
21.0 86.0 loc11
8.0 24.0 loc12
74.0 86.0 loc13
1.0 51.0 loc14
55.0 72.0 loc15
68.0 67.0 loc16
87.0 61.0 loc17
98.0 50.0 loc18
10.0 90.0 loc19
47.0 88.0 loc20
36.0 59.0 loc21
85.0 85.0 loc22
33.0 78.0 loc23
85.0 22.0 loc24
0.0 49.0 loc25
7.0 67.0 loc26
4.0 48.0 loc27
100.0 82.0 loc28
89.0 7.0 loc29
25.0 83.0 loc30
64.0 98.0 loc31
45.0 43.0 loc32
98.0 44.0 loc33
63.0 94.0 loc34
20.0 39.0 loc35
24.0 59.0 loc36
64.0 22.0 loc37
61.0 51.0 loc38
84.0 4.0 loc39
29.0 34.0 loc40
94.0 89.0 loc41
8.0 96.0 loc42
66.0 88.0 loc43
0.0 26.0 loc44
55.0 53.0 loc45
69.0 27.0 loc46
79.0 21.0 loc47
54.0 52.0 loc48
95.0 95.0 loc49
95.0 45.0 loc50
62.0 26.0 loc51
84.0 68.0 loc52
55.0 84.0 loc53
77.0 22.0 loc54
45.0 33.0 loc55
41.0 78.0 loc56
14.0 2.0 loc57
22.0 77.0 loc58
10.0 14.0 loc59
57.0 8.0 loc60
81.0 29.0 loc61
33.0 76.0 loc62
30.0 19.0 loc63
19.0 47.0 loc64
90.0 49.0 loc65
64.0 77.0 loc66
83.0 31.0 loc67
71.0 83.0 loc68
41.0 80.0 loc69
71.0 18.0 loc70
65.0 17.0 loc71
29.0 47.0 loc72
85.0 63.0 loc73
51.0 22.0 loc74
13.0 83.0 loc75
10.0 67.0 loc76
30.0 54.0 loc77
54.0 63.0 loc78
13.0 32.0 loc79
