/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.27906285276899234 0.7322873479763672 depot
/*The Locations (x_coor y_coor name)*/
76.0 21.0 loc1
60.0 79.0 loc2
59.0 58.0 loc3
55.0 68.0 loc4
98.0 59.0 loc5
79.0 2.0 loc6
93.0 45.0 loc7
69.0 83.0 loc8
78.0 6.0 loc9
71.0 18.0 loc10
39.0 5.0 loc11
17.0 53.0 loc12
88.0 91.0 loc13
72.0 25.0 loc14
75.0 97.0 loc15
85.0 30.0 loc16
57.0 38.0 loc17
45.0 0.0 loc18
67.0 28.0 loc19
30.0 64.0 loc20
55.0 100.0 loc21
25.0 31.0 loc22
62.0 44.0 loc23
93.0 99.0 loc24
21.0 84.0 loc25
51.0 22.0 loc26
3.0 11.0 loc27
19.0 44.0 loc28
18.0 48.0 loc29
40.0 4.0 loc30
2.0 58.0 loc31
83.0 7.0 loc32
38.0 18.0 loc33
4.0 36.0 loc34
13.0 97.0 loc35
95.0 39.0 loc36
73.0 31.0 loc37
55.0 91.0 loc38
59.0 55.0 loc39
67.0 69.0 loc40
6.0 47.0 loc41
71.0 29.0 loc42
20.0 33.0 loc43
49.0 72.0 loc44
87.0 20.0 loc45
36.0 12.0 loc46
50.0 44.0 loc47
61.0 73.0 loc48
62.0 35.0 loc49
1.0 0.0 loc50
95.0 60.0 loc51
4.0 73.0 loc52
49.0 0.0 loc53
22.0 39.0 loc54
27.0 71.0 loc55
44.0 14.0 loc56
68.0 15.0 loc57
46.0 83.0 loc58
96.0 21.0 loc59
79.0 99.0 loc60
64.0 45.0 loc61
61.0 12.0 loc62
13.0 29.0 loc63
95.0 4.0 loc64
34.0 75.0 loc65
44.0 19.0 loc66
85.0 87.0 loc67
2.0 86.0 loc68
44.0 71.0 loc69
94.0 47.0 loc70
60.0 83.0 loc71
12.0 82.0 loc72
58.0 21.0 loc73
9.0 80.0 loc74
14.0 4.0 loc75
58.0 61.0 loc76
56.0 6.0 loc77
31.0 72.0 loc78
19.0 52.0 loc79
57.0 7.0 loc80
75.0 64.0 loc81
40.0 6.0 loc82
3.0 71.0 loc83
77.0 70.0 loc84
12.0 61.0 loc85
81.0 83.0 loc86
89.0 79.0 loc87
80.0 94.0 loc88
29.0 4.0 loc89
66.0 62.0 loc90
42.0 29.0 loc91
56.0 57.0 loc92
48.0 44.0 loc93
9.0 13.0 loc94
20.0 17.0 loc95
22.0 46.0 loc96
32.0 25.0 loc97
62.0 20.0 loc98
81.0 43.0 loc99
