/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
70
/*The Depot*/
0.5067277769862385 0.94954997336007 depot
/*The Locations (x_coor y_coor name)*/
16.0 98.0 loc1
91.0 44.0 loc2
19.0 20.0 loc3
37.0 16.0 loc4
2.0 42.0 loc5
98.0 69.0 loc6
65.0 99.0 loc7
36.0 46.0 loc8
13.0 47.0 loc9
70.0 91.0 loc10
89.0 55.0 loc11
54.0 28.0 loc12
56.0 84.0 loc13
70.0 81.0 loc14
73.0 81.0 loc15
31.0 76.0 loc16
74.0 11.0 loc17
84.0 17.0 loc18
13.0 63.0 loc19
91.0 69.0 loc20
61.0 97.0 loc21
52.0 63.0 loc22
72.0 14.0 loc23
60.0 100.0 loc24
88.0 34.0 loc25
86.0 29.0 loc26
63.0 85.0 loc27
86.0 28.0 loc28
67.0 97.0 loc29
51.0 17.0 loc30
83.0 26.0 loc31
74.0 5.0 loc32
86.0 58.0 loc33
27.0 51.0 loc34
82.0 55.0 loc35
31.0 82.0 loc36
16.0 96.0 loc37
80.0 10.0 loc38
19.0 77.0 loc39
93.0 77.0 loc40
52.0 90.0 loc41
10.0 31.0 loc42
20.0 6.0 loc43
78.0 86.0 loc44
30.0 98.0 loc45
39.0 65.0 loc46
26.0 55.0 loc47
4.0 6.0 loc48
70.0 79.0 loc49
70.0 75.0 loc50
85.0 19.0 loc51
52.0 1.0 loc52
53.0 12.0 loc53
99.0 84.0 loc54
70.0 46.0 loc55
58.0 100.0 loc56
79.0 82.0 loc57
28.0 23.0 loc58
99.0 53.0 loc59
28.0 23.0 loc60
8.0 10.0 loc61
73.0 56.0 loc62
9.0 78.0 loc63
39.0 11.0 loc64
44.0 55.0 loc65
16.0 30.0 loc66
83.0 92.0 loc67
82.0 17.0 loc68
19.0 62.0 loc69
