/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
40
/*The Depot*/
0.2984821279943235 0.7009015879132596 depot
/*The Locations (x_coor y_coor name)*/
81.0 72.0 loc1
51.0 66.0 loc2
28.0 97.0 loc3
70.0 7.0 loc4
10.0 46.0 loc5
79.0 31.0 loc6
2.0 65.0 loc7
78.0 99.0 loc8
69.0 96.0 loc9
86.0 10.0 loc10
56.0 8.0 loc11
66.0 79.0 loc12
0.0 33.0 loc13
35.0 22.0 loc14
40.0 64.0 loc15
41.0 70.0 loc16
84.0 73.0 loc17
42.0 67.0 loc18
28.0 87.0 loc19
7.0 31.0 loc20
20.0 20.0 loc21
92.0 0.0 loc22
29.0 49.0 loc23
51.0 81.0 loc24
99.0 19.0 loc25
50.0 84.0 loc26
7.0 54.0 loc27
80.0 85.0 loc28
82.0 13.0 loc29
76.0 3.0 loc30
56.0 28.0 loc31
100.0 18.0 loc32
62.0 78.0 loc33
70.0 95.0 loc34
76.0 22.0 loc35
90.0 97.0 loc36
84.0 53.0 loc37
12.0 61.0 loc38
38.0 20.0 loc39
