/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
60
/*The Depot*/
0.059120368019609515 0.4954186787475511 depot
/*The Locations (x_coor y_coor name)*/
1.0 20.0 loc1
16.0 63.0 loc2
22.0 71.0 loc3
48.0 26.0 loc4
73.0 61.0 loc5
57.0 28.0 loc6
65.0 42.0 loc7
92.0 100.0 loc8
11.0 3.0 loc9
38.0 23.0 loc10
66.0 50.0 loc11
59.0 31.0 loc12
38.0 59.0 loc13
73.0 11.0 loc14
12.0 68.0 loc15
25.0 15.0 loc16
73.0 53.0 loc17
82.0 55.0 loc18
20.0 52.0 loc19
68.0 57.0 loc20
96.0 92.0 loc21
86.0 42.0 loc22
46.0 68.0 loc23
52.0 51.0 loc24
41.0 4.0 loc25
40.0 87.0 loc26
28.0 75.0 loc27
87.0 79.0 loc28
75.0 90.0 loc29
100.0 100.0 loc30
92.0 6.0 loc31
98.0 28.0 loc32
22.0 36.0 loc33
96.0 61.0 loc34
67.0 98.0 loc35
30.0 8.0 loc36
93.0 17.0 loc37
40.0 27.0 loc38
16.0 42.0 loc39
95.0 85.0 loc40
14.0 100.0 loc41
17.0 74.0 loc42
17.0 5.0 loc43
29.0 93.0 loc44
19.0 20.0 loc45
30.0 14.0 loc46
34.0 1.0 loc47
97.0 96.0 loc48
7.0 18.0 loc49
84.0 74.0 loc50
57.0 58.0 loc51
34.0 17.0 loc52
80.0 74.0 loc53
81.0 38.0 loc54
4.0 16.0 loc55
20.0 90.0 loc56
38.0 22.0 loc57
39.0 99.0 loc58
59.0 52.0 loc59
