/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
70
/*The Depot*/
0.11489036640434647 0.6545034427374444 depot
/*The Locations (x_coor y_coor name)*/
30.0 96.0 loc1
36.0 27.0 loc2
93.0 11.0 loc3
41.0 26.0 loc4
91.0 28.0 loc5
24.0 43.0 loc6
87.0 73.0 loc7
52.0 30.0 loc8
21.0 57.0 loc9
83.0 28.0 loc10
52.0 46.0 loc11
81.0 29.0 loc12
20.0 67.0 loc13
92.0 81.0 loc14
86.0 17.0 loc15
15.0 80.0 loc16
52.0 16.0 loc17
3.0 94.0 loc18
98.0 50.0 loc19
85.0 87.0 loc20
99.0 98.0 loc21
62.0 98.0 loc22
17.0 45.0 loc23
88.0 64.0 loc24
43.0 56.0 loc25
21.0 51.0 loc26
51.0 90.0 loc27
17.0 15.0 loc28
7.0 96.0 loc29
58.0 84.0 loc30
34.0 89.0 loc31
34.0 75.0 loc32
53.0 82.0 loc33
32.0 13.0 loc34
72.0 25.0 loc35
17.0 93.0 loc36
68.0 3.0 loc37
97.0 72.0 loc38
48.0 51.0 loc39
83.0 60.0 loc40
11.0 90.0 loc41
82.0 34.0 loc42
49.0 29.0 loc43
52.0 32.0 loc44
27.0 12.0 loc45
71.0 38.0 loc46
10.0 72.0 loc47
58.0 64.0 loc48
33.0 31.0 loc49
60.0 81.0 loc50
46.0 28.0 loc51
38.0 72.0 loc52
15.0 87.0 loc53
97.0 17.0 loc54
13.0 44.0 loc55
97.0 38.0 loc56
66.0 85.0 loc57
39.0 38.0 loc58
89.0 7.0 loc59
82.0 37.0 loc60
54.0 61.0 loc61
43.0 55.0 loc62
32.0 1.0 loc63
79.0 22.0 loc64
44.0 33.0 loc65
36.0 87.0 loc66
4.0 65.0 loc67
56.0 75.0 loc68
57.0 74.0 loc69
