/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
90
/*The Depot*/
0.259874892528426 0.7259771513710075 depot
/*The Locations (x_coor y_coor name)*/
63.0 30.0 loc1
85.0 67.0 loc2
20.0 99.0 loc3
93.0 33.0 loc4
81.0 40.0 loc5
87.0 4.0 loc6
4.0 10.0 loc7
62.0 17.0 loc8
8.0 71.0 loc9
81.0 68.0 loc10
54.0 94.0 loc11
37.0 16.0 loc12
78.0 33.0 loc13
6.0 95.0 loc14
63.0 2.0 loc15
6.0 73.0 loc16
19.0 66.0 loc17
72.0 73.0 loc18
15.0 91.0 loc19
37.0 38.0 loc20
82.0 3.0 loc21
32.0 10.0 loc22
70.0 46.0 loc23
93.0 70.0 loc24
57.0 37.0 loc25
49.0 76.0 loc26
54.0 19.0 loc27
8.0 64.0 loc28
30.0 57.0 loc29
94.0 96.0 loc30
47.0 43.0 loc31
80.0 25.0 loc32
94.0 7.0 loc33
57.0 7.0 loc34
18.0 87.0 loc35
46.0 54.0 loc36
19.0 71.0 loc37
0.0 90.0 loc38
99.0 100.0 loc39
99.0 78.0 loc40
79.0 27.0 loc41
79.0 94.0 loc42
76.0 44.0 loc43
11.0 53.0 loc44
29.0 4.0 loc45
66.0 18.0 loc46
69.0 16.0 loc47
3.0 2.0 loc48
81.0 6.0 loc49
13.0 22.0 loc50
23.0 39.0 loc51
50.0 82.0 loc52
83.0 58.0 loc53
8.0 18.0 loc54
61.0 7.0 loc55
31.0 38.0 loc56
56.0 75.0 loc57
42.0 19.0 loc58
63.0 65.0 loc59
75.0 66.0 loc60
86.0 27.0 loc61
99.0 56.0 loc62
18.0 23.0 loc63
57.0 38.0 loc64
58.0 58.0 loc65
34.0 65.0 loc66
91.0 5.0 loc67
26.0 70.0 loc68
23.0 10.0 loc69
75.0 71.0 loc70
81.0 15.0 loc71
17.0 38.0 loc72
56.0 76.0 loc73
61.0 12.0 loc74
28.0 92.0 loc75
85.0 35.0 loc76
58.0 23.0 loc77
5.0 10.0 loc78
74.0 46.0 loc79
66.0 65.0 loc80
46.0 4.0 loc81
83.0 79.0 loc82
49.0 70.0 loc83
11.0 43.0 loc84
3.0 38.0 loc85
16.0 53.0 loc86
15.0 89.0 loc87
7.0 26.0 loc88
86.0 34.0 loc89
