/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
40
/*The Depot*/
0.71691044067016 0.04653024567981068 depot
/*The Locations (x_coor y_coor name)*/
51.0 80.0 loc1
15.0 75.0 loc2
50.0 27.0 loc3
15.0 14.0 loc4
76.0 80.0 loc5
66.0 91.0 loc6
53.0 61.0 loc7
30.0 81.0 loc8
39.0 15.0 loc9
75.0 67.0 loc10
91.0 0.0 loc11
22.0 98.0 loc12
5.0 95.0 loc13
22.0 63.0 loc14
65.0 23.0 loc15
28.0 52.0 loc16
26.0 42.0 loc17
38.0 19.0 loc18
36.0 84.0 loc19
54.0 27.0 loc20
65.0 67.0 loc21
86.0 51.0 loc22
96.0 22.0 loc23
47.0 75.0 loc24
65.0 76.0 loc25
52.0 4.0 loc26
33.0 52.0 loc27
69.0 96.0 loc28
38.0 100.0 loc29
61.0 55.0 loc30
28.0 44.0 loc31
16.0 98.0 loc32
16.0 47.0 loc33
80.0 96.0 loc34
71.0 76.0 loc35
92.0 23.0 loc36
99.0 64.0 loc37
9.0 82.0 loc38
74.0 24.0 loc39
