/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
90
/*The Depot*/
0.45231618826649167 0.41563496842104664 depot
/*The Locations (x_coor y_coor name)*/
53.0 38.0 loc1
55.0 10.0 loc2
77.0 27.0 loc3
100.0 42.0 loc4
73.0 66.0 loc5
58.0 33.0 loc6
59.0 43.0 loc7
68.0 7.0 loc8
9.0 55.0 loc9
48.0 51.0 loc10
47.0 87.0 loc11
18.0 51.0 loc12
80.0 27.0 loc13
62.0 51.0 loc14
20.0 80.0 loc15
74.0 18.0 loc16
46.0 48.0 loc17
72.0 56.0 loc18
22.0 60.0 loc19
47.0 72.0 loc20
58.0 76.0 loc21
30.0 18.0 loc22
42.0 33.0 loc23
83.0 67.0 loc24
67.0 54.0 loc25
48.0 36.0 loc26
17.0 76.0 loc27
70.0 95.0 loc28
73.0 10.0 loc29
100.0 70.0 loc30
65.0 17.0 loc31
43.0 28.0 loc32
4.0 40.0 loc33
94.0 14.0 loc34
3.0 64.0 loc35
21.0 59.0 loc36
2.0 30.0 loc37
13.0 6.0 loc38
39.0 0.0 loc39
98.0 89.0 loc40
63.0 82.0 loc41
3.0 94.0 loc42
61.0 46.0 loc43
31.0 68.0 loc44
42.0 24.0 loc45
40.0 78.0 loc46
23.0 52.0 loc47
58.0 58.0 loc48
65.0 83.0 loc49
82.0 77.0 loc50
85.0 99.0 loc51
89.0 65.0 loc52
48.0 36.0 loc53
33.0 3.0 loc54
65.0 52.0 loc55
63.0 100.0 loc56
62.0 19.0 loc57
43.0 73.0 loc58
65.0 61.0 loc59
38.0 92.0 loc60
0.0 33.0 loc61
52.0 49.0 loc62
10.0 89.0 loc63
11.0 61.0 loc64
96.0 2.0 loc65
45.0 1.0 loc66
34.0 57.0 loc67
6.0 31.0 loc68
18.0 7.0 loc69
49.0 23.0 loc70
64.0 75.0 loc71
71.0 9.0 loc72
97.0 0.0 loc73
80.0 72.0 loc74
62.0 66.0 loc75
86.0 4.0 loc76
83.0 59.0 loc77
94.0 29.0 loc78
77.0 42.0 loc79
42.0 90.0 loc80
20.0 87.0 loc81
98.0 29.0 loc82
45.0 6.0 loc83
98.0 72.0 loc84
56.0 50.0 loc85
5.0 14.0 loc86
38.0 49.0 loc87
64.0 45.0 loc88
100.0 91.0 loc89
