/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.5051629675739738 0.5711660091417202 depot
/*The Locations (x_coor y_coor name)*/
67.0 93.0 loc1
15.0 51.0 loc2
93.0 53.0 loc3
12.0 16.0 loc4
66.0 37.0 loc5
86.0 100.0 loc6
35.0 21.0 loc7
25.0 67.0 loc8
53.0 61.0 loc9
16.0 55.0 loc10
64.0 4.0 loc11
7.0 51.0 loc12
91.0 45.0 loc13
9.0 61.0 loc14
36.0 3.0 loc15
77.0 12.0 loc16
45.0 55.0 loc17
51.0 36.0 loc18
91.0 58.0 loc19
88.0 90.0 loc20
96.0 16.0 loc21
80.0 62.0 loc22
40.0 23.0 loc23
13.0 29.0 loc24
46.0 5.0 loc25
34.0 30.0 loc26
75.0 44.0 loc27
34.0 77.0 loc28
0.0 93.0 loc29
53.0 30.0 loc30
77.0 34.0 loc31
11.0 46.0 loc32
79.0 52.0 loc33
62.0 55.0 loc34
100.0 18.0 loc35
28.0 0.0 loc36
72.0 93.0 loc37
35.0 28.0 loc38
37.0 33.0 loc39
73.0 10.0 loc40
17.0 78.0 loc41
12.0 96.0 loc42
65.0 88.0 loc43
82.0 4.0 loc44
93.0 40.0 loc45
90.0 95.0 loc46
89.0 2.0 loc47
12.0 30.0 loc48
86.0 91.0 loc49
76.0 84.0 loc50
12.0 1.0 loc51
56.0 24.0 loc52
48.0 68.0 loc53
48.0 64.0 loc54
59.0 2.0 loc55
42.0 67.0 loc56
32.0 53.0 loc57
69.0 33.0 loc58
34.0 75.0 loc59
82.0 47.0 loc60
62.0 66.0 loc61
57.0 19.0 loc62
50.0 26.0 loc63
73.0 65.0 loc64
61.0 89.0 loc65
2.0 35.0 loc66
8.0 74.0 loc67
67.0 60.0 loc68
68.0 92.0 loc69
15.0 25.0 loc70
30.0 8.0 loc71
37.0 88.0 loc72
58.0 60.0 loc73
100.0 96.0 loc74
62.0 67.0 loc75
57.0 51.0 loc76
100.0 61.0 loc77
52.0 85.0 loc78
80.0 30.0 loc79
21.0 31.0 loc80
65.0 21.0 loc81
88.0 94.0 loc82
82.0 43.0 loc83
63.0 62.0 loc84
67.0 53.0 loc85
19.0 23.0 loc86
70.0 87.0 loc87
60.0 79.0 loc88
32.0 66.0 loc89
14.0 3.0 loc90
11.0 99.0 loc91
52.0 90.0 loc92
89.0 47.0 loc93
29.0 25.0 loc94
60.0 99.0 loc95
3.0 56.0 loc96
57.0 14.0 loc97
65.0 40.0 loc98
43.0 70.0 loc99
