/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
60
/*The Depot*/
0.035094430849086033 0.6868095095952931 depot
/*The Locations (x_coor y_coor name)*/
6.0 88.0 loc1
89.0 63.0 loc2
81.0 40.0 loc3
59.0 91.0 loc4
97.0 3.0 loc5
48.0 92.0 loc6
68.0 42.0 loc7
64.0 73.0 loc8
92.0 36.0 loc9
55.0 52.0 loc10
72.0 81.0 loc11
37.0 58.0 loc12
82.0 95.0 loc13
83.0 27.0 loc14
19.0 100.0 loc15
54.0 28.0 loc16
41.0 10.0 loc17
77.0 60.0 loc18
95.0 29.0 loc19
89.0 26.0 loc20
85.0 46.0 loc21
4.0 12.0 loc22
38.0 16.0 loc23
30.0 29.0 loc24
99.0 75.0 loc25
47.0 4.0 loc26
0.0 49.0 loc27
2.0 42.0 loc28
40.0 3.0 loc29
19.0 37.0 loc30
21.0 50.0 loc31
61.0 37.0 loc32
77.0 60.0 loc33
38.0 53.0 loc34
52.0 20.0 loc35
34.0 65.0 loc36
73.0 88.0 loc37
59.0 55.0 loc38
27.0 12.0 loc39
70.0 54.0 loc40
22.0 92.0 loc41
91.0 16.0 loc42
1.0 25.0 loc43
95.0 66.0 loc44
94.0 10.0 loc45
51.0 71.0 loc46
64.0 22.0 loc47
51.0 38.0 loc48
62.0 70.0 loc49
43.0 47.0 loc50
100.0 89.0 loc51
27.0 73.0 loc52
17.0 62.0 loc53
94.0 28.0 loc54
47.0 89.0 loc55
60.0 61.0 loc56
29.0 1.0 loc57
53.0 86.0 loc58
80.0 59.0 loc59
