/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.23623239536116103 0.6012637393568355 depot
/*The Locations (x_coor y_coor name)*/
7.0 7.0 loc1
64.0 69.0 loc2
58.0 75.0 loc3
37.0 71.0 loc4
57.0 0.0 loc5
19.0 8.0 loc6
7.0 29.0 loc7
30.0 96.0 loc8
2.0 25.0 loc9
70.0 95.0 loc10
69.0 73.0 loc11
27.0 46.0 loc12
31.0 62.0 loc13
85.0 47.0 loc14
2.0 83.0 loc15
72.0 46.0 loc16
71.0 54.0 loc17
1.0 88.0 loc18
96.0 2.0 loc19
92.0 36.0 loc20
3.0 44.0 loc21
16.0 36.0 loc22
88.0 44.0 loc23
87.0 64.0 loc24
53.0 74.0 loc25
85.0 40.0 loc26
83.0 88.0 loc27
48.0 47.0 loc28
89.0 0.0 loc29
70.0 27.0 loc30
45.0 39.0 loc31
39.0 19.0 loc32
30.0 30.0 loc33
100.0 17.0 loc34
0.0 33.0 loc35
3.0 93.0 loc36
3.0 30.0 loc37
32.0 68.0 loc38
33.0 53.0 loc39
95.0 21.0 loc40
70.0 5.0 loc41
43.0 79.0 loc42
57.0 34.0 loc43
91.0 89.0 loc44
96.0 44.0 loc45
23.0 10.0 loc46
47.0 4.0 loc47
65.0 43.0 loc48
4.0 97.0 loc49
