/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.6170869988948712 0.8844410550783819 depot
/*The Locations (x_coor y_coor name)*/
18.0 28.0 loc1
100.0 86.0 loc2
47.0 68.0 loc3
33.0 10.0 loc4
92.0 21.0 loc5
86.0 88.0 loc6
63.0 49.0 loc7
100.0 49.0 loc8
40.0 22.0 loc9
14.0 48.0 loc10
83.0 83.0 loc11
83.0 30.0 loc12
16.0 31.0 loc13
28.0 56.0 loc14
59.0 100.0 loc15
15.0 90.0 loc16
30.0 62.0 loc17
91.0 45.0 loc18
37.0 62.0 loc19
47.0 39.0 loc20
60.0 30.0 loc21
60.0 78.0 loc22
25.0 68.0 loc23
30.0 90.0 loc24
7.0 85.0 loc25
99.0 3.0 loc26
5.0 68.0 loc27
31.0 36.0 loc28
83.0 9.0 loc29
39.0 73.0 loc30
98.0 60.0 loc31
58.0 17.0 loc32
48.0 89.0 loc33
85.0 35.0 loc34
72.0 84.0 loc35
94.0 91.0 loc36
99.0 26.0 loc37
96.0 98.0 loc38
43.0 30.0 loc39
83.0 70.0 loc40
40.0 87.0 loc41
56.0 46.0 loc42
8.0 8.0 loc43
15.0 74.0 loc44
10.0 82.0 loc45
31.0 78.0 loc46
48.0 21.0 loc47
81.0 23.0 loc48
19.0 53.0 loc49
82.0 29.0 loc50
5.0 53.0 loc51
52.0 8.0 loc52
54.0 98.0 loc53
26.0 81.0 loc54
12.0 63.0 loc55
81.0 89.0 loc56
67.0 29.0 loc57
17.0 21.0 loc58
25.0 38.0 loc59
75.0 62.0 loc60
12.0 89.0 loc61
24.0 2.0 loc62
26.0 27.0 loc63
72.0 16.0 loc64
97.0 58.0 loc65
39.0 24.0 loc66
53.0 26.0 loc67
60.0 1.0 loc68
24.0 66.0 loc69
39.0 49.0 loc70
31.0 3.0 loc71
62.0 26.0 loc72
14.0 54.0 loc73
96.0 71.0 loc74
66.0 4.0 loc75
95.0 23.0 loc76
56.0 12.0 loc77
52.0 88.0 loc78
29.0 28.0 loc79
90.0 5.0 loc80
3.0 17.0 loc81
9.0 82.0 loc82
55.0 94.0 loc83
44.0 93.0 loc84
40.0 14.0 loc85
89.0 20.0 loc86
88.0 97.0 loc87
9.0 60.0 loc88
11.0 60.0 loc89
42.0 70.0 loc90
5.0 85.0 loc91
27.0 56.0 loc92
83.0 18.0 loc93
55.0 83.0 loc94
31.0 99.0 loc95
37.0 36.0 loc96
40.0 77.0 loc97
87.0 10.0 loc98
27.0 1.0 loc99
