/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
80
/*The Depot*/
0.5575659583298339 0.786272425378363 depot
/*The Locations (x_coor y_coor name)*/
45.0 24.0 loc1
76.0 78.0 loc2
11.0 44.0 loc3
85.0 17.0 loc4
29.0 67.0 loc5
89.0 85.0 loc6
38.0 16.0 loc7
70.0 57.0 loc8
71.0 84.0 loc9
49.0 54.0 loc10
83.0 24.0 loc11
94.0 46.0 loc12
37.0 69.0 loc13
35.0 74.0 loc14
85.0 46.0 loc15
0.0 63.0 loc16
95.0 12.0 loc17
82.0 39.0 loc18
14.0 91.0 loc19
40.0 85.0 loc20
49.0 90.0 loc21
52.0 49.0 loc22
24.0 44.0 loc23
33.0 54.0 loc24
77.0 68.0 loc25
58.0 64.0 loc26
91.0 73.0 loc27
93.0 61.0 loc28
59.0 18.0 loc29
39.0 25.0 loc30
78.0 74.0 loc31
25.0 4.0 loc32
28.0 13.0 loc33
91.0 24.0 loc34
89.0 89.0 loc35
59.0 24.0 loc36
53.0 22.0 loc37
76.0 78.0 loc38
18.0 31.0 loc39
94.0 12.0 loc40
28.0 74.0 loc41
55.0 63.0 loc42
12.0 51.0 loc43
40.0 43.0 loc44
40.0 56.0 loc45
45.0 21.0 loc46
12.0 10.0 loc47
45.0 96.0 loc48
76.0 52.0 loc49
91.0 17.0 loc50
8.0 35.0 loc51
12.0 22.0 loc52
35.0 63.0 loc53
15.0 61.0 loc54
29.0 79.0 loc55
80.0 12.0 loc56
40.0 79.0 loc57
100.0 66.0 loc58
42.0 34.0 loc59
67.0 49.0 loc60
40.0 87.0 loc61
67.0 26.0 loc62
23.0 1.0 loc63
86.0 67.0 loc64
75.0 46.0 loc65
0.0 68.0 loc66
11.0 47.0 loc67
1.0 10.0 loc68
82.0 10.0 loc69
56.0 46.0 loc70
9.0 19.0 loc71
22.0 72.0 loc72
24.0 35.0 loc73
59.0 5.0 loc74
3.0 59.0 loc75
47.0 42.0 loc76
89.0 96.0 loc77
34.0 13.0 loc78
21.0 13.0 loc79
