/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.3201962335749611 0.9335456596547355 depot
/*The Locations (x_coor y_coor name)*/
64.0 46.0 loc1
47.0 0.0 loc2
41.0 97.0 loc3
11.0 72.0 loc4
16.0 76.0 loc5
22.0 61.0 loc6
88.0 93.0 loc7
28.0 43.0 loc8
77.0 34.0 loc9
26.0 56.0 loc10
71.0 14.0 loc11
85.0 34.0 loc12
56.0 55.0 loc13
88.0 39.0 loc14
3.0 90.0 loc15
24.0 69.0 loc16
64.0 9.0 loc17
2.0 45.0 loc18
5.0 36.0 loc19
26.0 1.0 loc20
85.0 13.0 loc21
39.0 27.0 loc22
95.0 79.0 loc23
29.0 8.0 loc24
32.0 9.0 loc25
96.0 94.0 loc26
16.0 19.0 loc27
83.0 99.0 loc28
20.0 28.0 loc29
50.0 68.0 loc30
30.0 0.0 loc31
95.0 27.0 loc32
19.0 56.0 loc33
60.0 17.0 loc34
14.0 11.0 loc35
95.0 97.0 loc36
21.0 75.0 loc37
44.0 62.0 loc38
92.0 57.0 loc39
19.0 5.0 loc40
24.0 49.0 loc41
98.0 65.0 loc42
93.0 34.0 loc43
4.0 96.0 loc44
30.0 81.0 loc45
5.0 11.0 loc46
33.0 10.0 loc47
6.0 86.0 loc48
81.0 48.0 loc49
