/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
70
/*The Depot*/
0.7907817274696598 0.2502981478014896 depot
/*The Locations (x_coor y_coor name)*/
53.0 32.0 loc1
10.0 65.0 loc2
72.0 40.0 loc3
98.0 36.0 loc4
38.0 54.0 loc5
39.0 18.0 loc6
49.0 10.0 loc7
50.0 100.0 loc8
68.0 6.0 loc9
11.0 78.0 loc10
28.0 66.0 loc11
29.0 21.0 loc12
67.0 68.0 loc13
56.0 66.0 loc14
35.0 0.0 loc15
29.0 61.0 loc16
27.0 66.0 loc17
6.0 5.0 loc18
28.0 45.0 loc19
46.0 22.0 loc20
3.0 43.0 loc21
53.0 46.0 loc22
14.0 82.0 loc23
58.0 84.0 loc24
93.0 99.0 loc25
9.0 42.0 loc26
8.0 85.0 loc27
83.0 97.0 loc28
42.0 65.0 loc29
17.0 24.0 loc30
44.0 27.0 loc31
32.0 75.0 loc32
74.0 99.0 loc33
25.0 30.0 loc34
2.0 99.0 loc35
99.0 51.0 loc36
29.0 62.0 loc37
76.0 94.0 loc38
36.0 96.0 loc39
29.0 36.0 loc40
19.0 64.0 loc41
77.0 28.0 loc42
41.0 69.0 loc43
19.0 13.0 loc44
86.0 52.0 loc45
44.0 63.0 loc46
6.0 100.0 loc47
45.0 2.0 loc48
89.0 97.0 loc49
48.0 57.0 loc50
11.0 94.0 loc51
94.0 53.0 loc52
41.0 26.0 loc53
54.0 49.0 loc54
24.0 88.0 loc55
76.0 94.0 loc56
4.0 75.0 loc57
24.0 7.0 loc58
7.0 86.0 loc59
88.0 70.0 loc60
38.0 88.0 loc61
42.0 74.0 loc62
37.0 38.0 loc63
95.0 35.0 loc64
66.0 31.0 loc65
69.0 25.0 loc66
98.0 47.0 loc67
97.0 12.0 loc68
72.0 55.0 loc69
