/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
40
/*The Depot*/
0.6079774938260761 0.1624347750204389 depot
/*The Locations (x_coor y_coor name)*/
82.0 8.0 loc1
15.0 14.0 loc2
19.0 40.0 loc3
16.0 29.0 loc4
32.0 81.0 loc5
18.0 81.0 loc6
18.0 21.0 loc7
47.0 84.0 loc8
81.0 63.0 loc9
13.0 15.0 loc10
24.0 79.0 loc11
81.0 5.0 loc12
71.0 8.0 loc13
1.0 99.0 loc14
93.0 61.0 loc15
40.0 95.0 loc16
34.0 61.0 loc17
59.0 45.0 loc18
95.0 39.0 loc19
40.0 99.0 loc20
38.0 26.0 loc21
100.0 21.0 loc22
72.0 94.0 loc23
4.0 82.0 loc24
35.0 84.0 loc25
62.0 26.0 loc26
23.0 71.0 loc27
85.0 18.0 loc28
64.0 13.0 loc29
72.0 1.0 loc30
90.0 15.0 loc31
52.0 82.0 loc32
38.0 33.0 loc33
43.0 15.0 loc34
82.0 84.0 loc35
99.0 78.0 loc36
48.0 11.0 loc37
80.0 2.0 loc38
53.0 25.0 loc39
