/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
80
/*The Depot*/
0.8318978698318328 0.3240217172555323 depot
/*The Locations (x_coor y_coor name)*/
59.0 33.0 loc1
28.0 76.0 loc2
84.0 12.0 loc3
83.0 93.0 loc4
85.0 4.0 loc5
90.0 73.0 loc6
62.0 58.0 loc7
79.0 38.0 loc8
57.0 98.0 loc9
62.0 78.0 loc10
28.0 88.0 loc11
1.0 25.0 loc12
18.0 17.0 loc13
83.0 30.0 loc14
72.0 54.0 loc15
42.0 7.0 loc16
3.0 43.0 loc17
45.0 22.0 loc18
39.0 88.0 loc19
3.0 85.0 loc20
83.0 79.0 loc21
53.0 64.0 loc22
47.0 8.0 loc23
4.0 93.0 loc24
44.0 47.0 loc25
99.0 48.0 loc26
66.0 23.0 loc27
39.0 47.0 loc28
81.0 64.0 loc29
93.0 69.0 loc30
5.0 33.0 loc31
70.0 99.0 loc32
33.0 16.0 loc33
59.0 69.0 loc34
47.0 36.0 loc35
34.0 53.0 loc36
98.0 94.0 loc37
5.0 83.0 loc38
68.0 2.0 loc39
79.0 56.0 loc40
18.0 56.0 loc41
47.0 10.0 loc42
90.0 0.0 loc43
51.0 77.0 loc44
9.0 87.0 loc45
97.0 27.0 loc46
95.0 7.0 loc47
17.0 8.0 loc48
5.0 86.0 loc49
79.0 58.0 loc50
19.0 53.0 loc51
76.0 71.0 loc52
92.0 44.0 loc53
51.0 13.0 loc54
24.0 89.0 loc55
51.0 81.0 loc56
10.0 66.0 loc57
28.0 31.0 loc58
41.0 23.0 loc59
88.0 84.0 loc60
99.0 92.0 loc61
75.0 57.0 loc62
62.0 16.0 loc63
92.0 63.0 loc64
98.0 12.0 loc65
55.0 5.0 loc66
28.0 67.0 loc67
30.0 92.0 loc68
68.0 59.0 loc69
26.0 74.0 loc70
89.0 96.0 loc71
98.0 19.0 loc72
69.0 16.0 loc73
94.0 67.0 loc74
25.0 28.0 loc75
20.0 96.0 loc76
52.0 31.0 loc77
46.0 24.0 loc78
53.0 19.0 loc79
