/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.5679836703939515 0.28794566306586955 depot
/*The Locations (x_coor y_coor name)*/
10.0 21.0 loc1
79.0 76.0 loc2
32.0 74.0 loc3
97.0 59.0 loc4
82.0 78.0 loc5
26.0 84.0 loc6
17.0 72.0 loc7
44.0 29.0 loc8
4.0 22.0 loc9
81.0 30.0 loc10
29.0 76.0 loc11
96.0 83.0 loc12
74.0 48.0 loc13
1.0 74.0 loc14
98.0 75.0 loc15
29.0 79.0 loc16
68.0 5.0 loc17
95.0 5.0 loc18
90.0 44.0 loc19
35.0 41.0 loc20
57.0 53.0 loc21
75.0 48.0 loc22
71.0 46.0 loc23
14.0 4.0 loc24
13.0 56.0 loc25
4.0 90.0 loc26
60.0 9.0 loc27
24.0 58.0 loc28
34.0 98.0 loc29
57.0 85.0 loc30
32.0 40.0 loc31
51.0 75.0 loc32
56.0 48.0 loc33
65.0 33.0 loc34
5.0 76.0 loc35
79.0 34.0 loc36
26.0 16.0 loc37
83.0 19.0 loc38
1.0 68.0 loc39
27.0 5.0 loc40
84.0 74.0 loc41
3.0 78.0 loc42
4.0 26.0 loc43
87.0 39.0 loc44
6.0 57.0 loc45
68.0 52.0 loc46
50.0 90.0 loc47
94.0 77.0 loc48
75.0 92.0 loc49
25.0 27.0 loc50
76.0 38.0 loc51
10.0 90.0 loc52
80.0 93.0 loc53
66.0 64.0 loc54
30.0 7.0 loc55
50.0 91.0 loc56
61.0 70.0 loc57
85.0 85.0 loc58
92.0 55.0 loc59
71.0 18.0 loc60
87.0 92.0 loc61
41.0 60.0 loc62
58.0 87.0 loc63
37.0 96.0 loc64
94.0 2.0 loc65
36.0 62.0 loc66
92.0 61.0 loc67
100.0 99.0 loc68
87.0 82.0 loc69
0.0 91.0 loc70
24.0 69.0 loc71
9.0 68.0 loc72
21.0 100.0 loc73
4.0 62.0 loc74
35.0 7.0 loc75
64.0 97.0 loc76
37.0 42.0 loc77
67.0 61.0 loc78
94.0 36.0 loc79
92.0 96.0 loc80
60.0 50.0 loc81
95.0 72.0 loc82
12.0 33.0 loc83
18.0 61.0 loc84
49.0 50.0 loc85
81.0 17.0 loc86
24.0 33.0 loc87
80.0 15.0 loc88
90.0 91.0 loc89
33.0 43.0 loc90
97.0 51.0 loc91
2.0 63.0 loc92
80.0 17.0 loc93
9.0 37.0 loc94
4.0 3.0 loc95
1.0 7.0 loc96
28.0 75.0 loc97
24.0 93.0 loc98
55.0 24.0 loc99
