/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
70
/*The Depot*/
0.8694757776777564 0.7661296028514842 depot
/*The Locations (x_coor y_coor name)*/
41.0 90.0 loc1
45.0 73.0 loc2
35.0 65.0 loc3
5.0 2.0 loc4
12.0 41.0 loc5
76.0 30.0 loc6
62.0 32.0 loc7
29.0 3.0 loc8
53.0 11.0 loc9
59.0 37.0 loc10
76.0 67.0 loc11
98.0 69.0 loc12
65.0 11.0 loc13
6.0 81.0 loc14
59.0 50.0 loc15
13.0 15.0 loc16
95.0 29.0 loc17
79.0 60.0 loc18
10.0 44.0 loc19
0.0 16.0 loc20
80.0 30.0 loc21
68.0 5.0 loc22
77.0 89.0 loc23
95.0 82.0 loc24
16.0 73.0 loc25
72.0 93.0 loc26
6.0 98.0 loc27
91.0 32.0 loc28
30.0 71.0 loc29
15.0 4.0 loc30
31.0 55.0 loc31
61.0 48.0 loc32
73.0 72.0 loc33
20.0 29.0 loc34
65.0 98.0 loc35
42.0 95.0 loc36
89.0 61.0 loc37
77.0 23.0 loc38
66.0 39.0 loc39
21.0 6.0 loc40
33.0 40.0 loc41
53.0 21.0 loc42
14.0 22.0 loc43
99.0 32.0 loc44
78.0 37.0 loc45
88.0 0.0 loc46
45.0 45.0 loc47
11.0 80.0 loc48
41.0 12.0 loc49
25.0 76.0 loc50
32.0 19.0 loc51
43.0 44.0 loc52
41.0 40.0 loc53
97.0 85.0 loc54
72.0 67.0 loc55
75.0 27.0 loc56
1.0 20.0 loc57
4.0 86.0 loc58
59.0 36.0 loc59
29.0 79.0 loc60
97.0 64.0 loc61
93.0 81.0 loc62
10.0 42.0 loc63
20.0 62.0 loc64
75.0 38.0 loc65
61.0 96.0 loc66
72.0 55.0 loc67
30.0 30.0 loc68
74.0 6.0 loc69
