/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
50
/*The Depot*/
0.1762753028379922 0.3081340754533952 depot
/*The Locations (x_coor y_coor name)*/
27.0 73.0 loc1
73.0 34.0 loc2
78.0 30.0 loc3
48.0 78.0 loc4
78.0 75.0 loc5
15.0 32.0 loc6
26.0 62.0 loc7
36.0 26.0 loc8
52.0 95.0 loc9
54.0 70.0 loc10
24.0 26.0 loc11
50.0 96.0 loc12
26.0 44.0 loc13
47.0 75.0 loc14
94.0 88.0 loc15
35.0 47.0 loc16
83.0 35.0 loc17
72.0 53.0 loc18
77.0 61.0 loc19
7.0 20.0 loc20
81.0 35.0 loc21
100.0 44.0 loc22
54.0 99.0 loc23
89.0 5.0 loc24
27.0 19.0 loc25
20.0 13.0 loc26
79.0 5.0 loc27
65.0 79.0 loc28
74.0 58.0 loc29
44.0 23.0 loc30
44.0 53.0 loc31
93.0 75.0 loc32
87.0 12.0 loc33
13.0 77.0 loc34
31.0 38.0 loc35
38.0 15.0 loc36
96.0 12.0 loc37
35.0 79.0 loc38
2.0 54.0 loc39
18.0 52.0 loc40
76.0 100.0 loc41
12.0 44.0 loc42
75.0 100.0 loc43
0.0 40.0 loc44
56.0 75.0 loc45
97.0 99.0 loc46
80.0 48.0 loc47
5.0 49.0 loc48
47.0 85.0 loc49
