/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
100
/*The Depot*/
0.7345757799599301 0.7409492021058748 depot
/*The Locations (x_coor y_coor name)*/
44.0 67.0 loc1
96.0 68.0 loc2
93.0 24.0 loc3
89.0 18.0 loc4
92.0 23.0 loc5
5.0 86.0 loc6
86.0 41.0 loc7
37.0 77.0 loc8
10.0 85.0 loc9
100.0 52.0 loc10
74.0 49.0 loc11
50.0 47.0 loc12
80.0 35.0 loc13
57.0 0.0 loc14
87.0 72.0 loc15
23.0 31.0 loc16
28.0 43.0 loc17
52.0 76.0 loc18
29.0 61.0 loc19
78.0 97.0 loc20
22.0 90.0 loc21
71.0 97.0 loc22
5.0 51.0 loc23
84.0 14.0 loc24
81.0 28.0 loc25
15.0 28.0 loc26
82.0 10.0 loc27
55.0 65.0 loc28
65.0 68.0 loc29
60.0 92.0 loc30
89.0 80.0 loc31
76.0 96.0 loc32
93.0 58.0 loc33
78.0 95.0 loc34
59.0 78.0 loc35
23.0 63.0 loc36
15.0 43.0 loc37
58.0 8.0 loc38
62.0 18.0 loc39
70.0 73.0 loc40
66.0 14.0 loc41
6.0 90.0 loc42
22.0 69.0 loc43
98.0 92.0 loc44
10.0 11.0 loc45
57.0 83.0 loc46
73.0 3.0 loc47
78.0 38.0 loc48
7.0 86.0 loc49
75.0 40.0 loc50
20.0 0.0 loc51
17.0 78.0 loc52
20.0 85.0 loc53
53.0 72.0 loc54
84.0 49.0 loc55
95.0 44.0 loc56
23.0 65.0 loc57
33.0 13.0 loc58
14.0 11.0 loc59
5.0 62.0 loc60
68.0 2.0 loc61
95.0 85.0 loc62
83.0 66.0 loc63
52.0 48.0 loc64
52.0 80.0 loc65
27.0 32.0 loc66
28.0 31.0 loc67
91.0 60.0 loc68
60.0 52.0 loc69
86.0 75.0 loc70
71.0 55.0 loc71
48.0 39.0 loc72
95.0 87.0 loc73
53.0 29.0 loc74
98.0 69.0 loc75
20.0 63.0 loc76
52.0 13.0 loc77
9.0 32.0 loc78
7.0 32.0 loc79
89.0 70.0 loc80
57.0 65.0 loc81
85.0 20.0 loc82
16.0 51.0 loc83
0.0 96.0 loc84
93.0 72.0 loc85
51.0 95.0 loc86
79.0 13.0 loc87
1.0 82.0 loc88
91.0 72.0 loc89
48.0 45.0 loc90
83.0 7.0 loc91
44.0 71.0 loc92
57.0 94.0 loc93
9.0 79.0 loc94
80.0 35.0 loc95
87.0 100.0 loc96
36.0 90.0 loc97
92.0 82.0 loc98
8.0 69.0 loc99
