/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
70
/*The Depot*/
0.12464673051081032 0.13646895501491796 depot
/*The Locations (x_coor y_coor name)*/
61.0 82.0 loc1
36.0 10.0 loc2
32.0 32.0 loc3
5.0 70.0 loc4
64.0 78.0 loc5
43.0 57.0 loc6
48.0 30.0 loc7
16.0 63.0 loc8
53.0 3.0 loc9
8.0 7.0 loc10
96.0 60.0 loc11
12.0 15.0 loc12
15.0 32.0 loc13
78.0 63.0 loc14
2.0 100.0 loc15
83.0 31.0 loc16
2.0 31.0 loc17
52.0 98.0 loc18
83.0 7.0 loc19
62.0 90.0 loc20
9.0 55.0 loc21
3.0 12.0 loc22
85.0 49.0 loc23
28.0 40.0 loc24
66.0 44.0 loc25
90.0 7.0 loc26
1.0 47.0 loc27
47.0 92.0 loc28
20.0 91.0 loc29
97.0 12.0 loc30
81.0 21.0 loc31
83.0 13.0 loc32
32.0 95.0 loc33
96.0 23.0 loc34
1.0 95.0 loc35
53.0 32.0 loc36
2.0 5.0 loc37
52.0 0.0 loc38
10.0 100.0 loc39
92.0 44.0 loc40
21.0 64.0 loc41
84.0 4.0 loc42
51.0 98.0 loc43
15.0 93.0 loc44
41.0 90.0 loc45
79.0 3.0 loc46
49.0 83.0 loc47
29.0 55.0 loc48
84.0 31.0 loc49
10.0 50.0 loc50
28.0 14.0 loc51
43.0 60.0 loc52
98.0 96.0 loc53
73.0 92.0 loc54
41.0 28.0 loc55
18.0 48.0 loc56
56.0 35.0 loc57
80.0 25.0 loc58
81.0 34.0 loc59
31.0 53.0 loc60
34.0 16.0 loc61
100.0 84.0 loc62
92.0 75.0 loc63
81.0 90.0 loc64
25.0 89.0 loc65
94.0 66.0 loc66
98.0 0.0 loc67
30.0 48.0 loc68
72.0 63.0 loc69
