/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
70
/*The Depot*/
0.1460827536084658 0.66036897559439 depot
/*The Locations (x_coor y_coor name)*/
24.0 92.0 loc1
24.0 38.0 loc2
6.0 5.0 loc3
77.0 60.0 loc4
66.0 73.0 loc5
31.0 75.0 loc6
16.0 39.0 loc7
44.0 89.0 loc8
64.0 69.0 loc9
88.0 20.0 loc10
49.0 7.0 loc11
92.0 12.0 loc12
33.0 22.0 loc13
64.0 40.0 loc14
23.0 47.0 loc15
30.0 58.0 loc16
32.0 61.0 loc17
30.0 19.0 loc18
25.0 26.0 loc19
14.0 0.0 loc20
50.0 43.0 loc21
82.0 52.0 loc22
90.0 83.0 loc23
71.0 81.0 loc24
2.0 63.0 loc25
36.0 36.0 loc26
32.0 88.0 loc27
8.0 84.0 loc28
81.0 48.0 loc29
35.0 90.0 loc30
14.0 5.0 loc31
72.0 3.0 loc32
93.0 71.0 loc33
5.0 36.0 loc34
29.0 39.0 loc35
11.0 77.0 loc36
31.0 16.0 loc37
65.0 65.0 loc38
59.0 20.0 loc39
71.0 76.0 loc40
29.0 78.0 loc41
68.0 28.0 loc42
20.0 67.0 loc43
80.0 23.0 loc44
69.0 62.0 loc45
100.0 9.0 loc46
95.0 80.0 loc47
76.0 14.0 loc48
55.0 83.0 loc49
1.0 88.0 loc50
98.0 56.0 loc51
17.0 4.0 loc52
57.0 99.0 loc53
85.0 5.0 loc54
8.0 10.0 loc55
43.0 17.0 loc56
24.0 25.0 loc57
39.0 35.0 loc58
27.0 18.0 loc59
76.0 81.0 loc60
19.0 74.0 loc61
48.0 56.0 loc62
59.0 74.0 loc63
98.0 63.0 loc64
83.0 98.0 loc65
35.0 61.0 loc66
83.0 1.0 loc67
96.0 6.0 loc68
70.0 14.0 loc69
