/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
40
/*The Depot*/
0.31495590092951753 0.2587313225448301 depot
/*The Locations (x_coor y_coor name)*/
62.0 53.0 loc1
37.0 99.0 loc2
50.0 78.0 loc3
92.0 2.0 loc4
78.0 33.0 loc5
33.0 15.0 loc6
67.0 1.0 loc7
95.0 68.0 loc8
49.0 46.0 loc9
21.0 71.0 loc10
51.0 51.0 loc11
56.0 68.0 loc12
77.0 6.0 loc13
39.0 46.0 loc14
10.0 6.0 loc15
12.0 51.0 loc16
1.0 46.0 loc17
18.0 54.0 loc18
77.0 77.0 loc19
68.0 66.0 loc20
97.0 26.0 loc21
17.0 35.0 loc22
99.0 1.0 loc23
54.0 88.0 loc24
97.0 85.0 loc25
76.0 33.0 loc26
90.0 51.0 loc27
30.0 48.0 loc28
86.0 33.0 loc29
63.0 41.0 loc30
17.0 75.0 loc31
37.0 35.0 loc32
3.0 88.0 loc33
98.0 54.0 loc34
56.0 92.0 loc35
27.0 86.0 loc36
34.0 58.0 loc37
60.0 38.0 loc38
19.0 14.0 loc39
