/*The speed of the Truck*/
1.0
/*The speed of the Drone*/
0.5
/*Number of Nodes*/
40
/*The Depot*/
0.7366928454277442 0.771263205702767 depot
/*The Locations (x_coor y_coor name)*/
4.0 78.0 loc1
99.0 86.0 loc2
40.0 82.0 loc3
92.0 73.0 loc4
78.0 6.0 loc5
66.0 75.0 loc6
19.0 62.0 loc7
48.0 2.0 loc8
33.0 31.0 loc9
88.0 31.0 loc10
73.0 92.0 loc11
61.0 91.0 loc12
100.0 44.0 loc13
31.0 83.0 loc14
82.0 51.0 loc15
38.0 29.0 loc16
0.0 35.0 loc17
11.0 1.0 loc18
18.0 65.0 loc19
78.0 39.0 loc20
57.0 94.0 loc21
86.0 16.0 loc22
17.0 74.0 loc23
28.0 21.0 loc24
77.0 71.0 loc25
96.0 24.0 loc26
95.0 63.0 loc27
56.0 27.0 loc28
52.0 30.0 loc29
2.0 41.0 loc30
71.0 93.0 loc31
80.0 0.0 loc32
7.0 76.0 loc33
4.0 43.0 loc34
84.0 94.0 loc35
25.0 67.0 loc36
38.0 19.0 loc37
47.0 50.0 loc38
75.0 73.0 loc39
